fia_species_code,scientific_name,grain_km,fold,eligible_plots,qualifying_tree_records,positive_plots,detected_cells_ge1_positive_plot,detected_cells_ge2_positive_plots,detected_cells_ge3_positive_plots,tpa_unadj_available_fraction,obvious_variance_support_failure,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean
101,Pinus albicaulis,75,A,57920,2467,329,79,52,40,1.0,0,1,1.0,1.0,3.0,6.0,10.0,16,4.1645569620253164
101,Pinus albicaulis,75,B,57805,2540,374,76,52,45,1.0,0,1,1.0,1.0,4.0,7.0,12.0,21,4.921052631578948
102,Pinus aristata,25,A,57920,153,45,29,10,4,1.0,0,1,1.0,1.0,1.0,2.0,3.0,4,1.5517241379310345
102,Pinus aristata,25,B,57805,355,40,27,8,4,1.0,0,1,1.0,1.0,1.0,2.0,3.0,4,1.4814814814814814
102,Pinus aristata,50,A,57920,153,45,17,13,6,1.0,0,1,1.0,2.0,2.0,3.0,4.200000000000001,9,2.6470588235294117
102,Pinus aristata,50,B,57805,355,40,19,11,4,1.0,0,1,1.0,1.0,2.0,2.0,4.199999999999999,6,2.1052631578947367
102,Pinus aristata,75,A,57920,153,45,13,12,6,1.0,0,1,2.0,2.0,2.0,3.0,6.600000000000001,11,3.4615384615384617
102,Pinus aristata,75,B,57805,355,40,13,8,6,1.0,0,1,1.0,1.0,2.0,4.0,5.0,10,3.076923076923077
103,Pinus attenuata,25,A,57920,67,23,19,2,2,1.0,0,1,1.0,1.0,1.0,1.0,1.3999999999999986,3,1.2105263157894737
103,Pinus attenuata,25,B,57805,147,30,23,6,1,1.0,0,1,1.0,1.0,1.0,1.5,2.0,3,1.3043478260869565
103,Pinus attenuata,50,A,57920,67,23,16,4,2,1.0,0,1,1.0,1.0,1.0,1.25,2.5,4,1.4375
103,Pinus attenuata,50,B,57805,147,30,17,7,4,1.0,0,1,1.0,1.0,1.0,2.0,3.0,5,1.7647058823529411
103,Pinus attenuata,75,A,57920,67,23,13,6,2,1.0,0,1,1.0,1.0,1.0,2.0,3.6000000000000014,4,1.7692307692307692
103,Pinus attenuata,75,B,57805,147,30,15,7,4,1.0,0,1,1.0,1.0,1.0,2.5,4.199999999999999,5,2.0
104,Pinus balfouriana,25,A,57920,72,5,5,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
104,Pinus balfouriana,25,B,57805,152,10,3,3,2,1.0,0,2,2.2,2.5,3.0,4.0,4.6,5,3.3333333333333335
104,Pinus balfouriana,50,A,57920,72,5,3,1,1,1.0,0,1,1.0,1.0,1.0,2.0,2.6000000000000005,3,1.6666666666666667
104,Pinus balfouriana,50,B,57805,152,10,1,1,1,1.0,1,10,10.0,10.0,10.0,10.0,10.0,10,10.0
104,Pinus balfouriana,75,A,57920,72,5,2,2,1,1.0,0,2,2.1,2.25,2.5,2.75,2.9000000000000004,3,2.5
104,Pinus balfouriana,75,B,57805,152,10,2,2,1,1.0,0,2,2.6,3.5,5.0,6.5,7.4,8,5.0
105,Pinus banksiana,25,A,57920,4069,522,206,116,79,1.0,0,1,1.0,1.0,2.0,3.0,5.0,13,2.533980582524272
105,Pinus banksiana,25,B,57805,4043,502,206,100,65,1.0,0,1,1.0,1.0,1.0,3.0,5.0,14,2.436893203883495
105,Pinus banksiana,50,A,57920,4069,522,110,76,59,1.0,0,1,1.0,1.0,3.0,6.0,11.100000000000009,26,4.745454545454545
105,Pinus banksiana,50,B,57805,4043,502,104,74,51,1.0,0,1,1.0,1.0,2.0,6.25,12.0,30,4.826923076923077
105,Pinus banksiana,75,A,57920,4069,522,70,51,44,1.0,0,1,1.0,1.0,4.5,10.0,18.300000000000004,38,7.457142857142857
105,Pinus banksiana,75,B,57805,4043,502,69,54,42,1.0,0,1,1.0,2.0,4.0,9.0,18.0,47,7.27536231884058
106,Pinus edulis,25,A,57920,11273,1502,581,380,232,1.0,0,1,1.0,1.0,2.0,3.0,5.0,10,2.585197934595525
106,Pinus edulis,25,B,57805,10619,1482,557,361,238,1.0,0,1,1.0,1.0,2.0,4.0,5.0,12,2.6606822262118492
106,Pinus edulis,50,A,57920,11273,1502,227,204,165,1.0,0,1,1.6000000000000014,2.0,5.0,10.0,14.0,25,6.616740088105727
106,Pinus edulis,50,B,57805,10619,1482,224,197,177,1.0,0,1,1.0,3.0,5.0,10.0,13.700000000000017,26,6.616071428571429
106,Pinus edulis,75,A,57920,11273,1502,124,114,102,1.0,0,1,2.0,4.0,9.0,19.0,26.0,41,12.112903225806452
106,Pinus edulis,75,B,57805,10619,1482,117,106,99,1.0,0,1,2.0,5.0,11.0,18.0,27.0,41,12.666666666666666
107,Pinus clausa,25,A,57920,1314,75,34,12,9,1.0,0,1,1.0,1.0,1.0,2.75,4.699999999999999,12,2.2058823529411766
107,Pinus clausa,25,B,57805,1275,92,47,18,8,1.0,0,1,1.0,1.0,1.0,2.0,4.0,10,1.9574468085106382
107,Pinus clausa,50,A,57920,1314,75,24,9,6,1.0,0,1,1.0,1.0,1.0,2.25,6.699999999999999,22,3.125
107,Pinus clausa,50,B,57805,1275,92,30,11,7,1.0,0,1,1.0,1.0,1.0,2.0,8.300000000000004,22,3.066666666666667
107,Pinus clausa,75,A,57920,1314,75,17,7,7,1.0,0,1,1.0,1.0,1.0,3.0,7.600000000000003,35,4.411764705882353
107,Pinus clausa,75,B,57805,1275,92,21,10,8,1.0,0,1,1.0,1.0,1.0,4.0,7.0,31,4.380952380952381
108,Pinus contorta,25,A,57920,28045,2129,714,458,307,1.0,0,1,1.0,1.0,2.0,4.0,6.0,30,2.981792717086835
108,Pinus contorta,25,B,57805,30599,2103,683,459,308,1.0,0,1,1.0,1.0,2.0,4.0,6.0,31,3.0790629575402635
108,Pinus contorta,50,A,57920,28045,2129,293,236,207,1.0,0,1,1.0,2.0,5.0,9.0,14.0,66,7.266211604095563
108,Pinus contorta,50,B,57805,30599,2103,289,232,202,1.0,0,1,1.0,2.0,5.0,10.0,16.0,69,7.27681660899654
