fia_species_code,fia_name_raw,mapping_present_in_frozen_d08b1,mapping_class,taxonomy_resolution_status,analysis_species_id,analysis_species_name,belongs_to_101_starting_universe,f0_live_large_tree_count,f0_live_large_tree_state_codes,f0_live_large_tree_folds,f0_native_candidate_tree_count,valid_encounter_tree_count,valid_encounter_tree_count_A,valid_encounter_tree_count_B,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,outside_starting_universe_tree_count,unmapped_tree_count,valid_encounter_state_codes,valid_encounter_folds,silent_drop_used
741,Populus balsamifera,1,ACCEPTED_SPECIES,RESOLVED,2917292,Populus balsamifera,0,4729,17;23;26;27;33;36;38;50;55,A;B,0,0,0,0,0,0,4729,0,,,NO
742,Populus deltoides,1,ACCEPTED_SPECIES,RESOLVED,2917212,Populus deltoides,0,3005,1;5;8;9;12;13;17;18;19;20;21;22;24;25;26;27;28;29;30;31;33;34;36;37;38;39;40;42;45;46;47;48;50;55;56,A;B,0,0,0,0,0,0,3005,0,,,NO
743,Populus grandidentata,1,ACCEPTED_SPECIES,RESOLVED,2917577,Populus grandidentata,0,13395,9;10;17;18;19;21;23;24;25;26;27;33;34;36;37;39;42;44;47;50;51;54;55,A;B,0,0,0,0,0,0,13395,0,,,NO
744,Populus heterophylla,1,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,2917593,Populus heterophylla,0,89,12;17;18;37;45,A;B,0,0,0,0,0,0,89,0,,,NO
745,Populus deltoides ssp. monilifera,1,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,2917212,Populus deltoides,0,182,8;30;48;56,A;B,0,0,0,0,0,0,182,0,,,NO
746,Populus tremuloides,1,ACCEPTED_SPECIES,RESOLVED,2917451,Populus tremuloides,0,81999,4;6;8;9;16;17;18;19;21;23;24;25;26;27;30;32;33;34;35;36;38;39;41;42;44;46;49;50;51;53;54;55;56,A;B,0,0,0,0,0,0,81999,0,,,NO
747,Populus balsamifera ssp. trichocarpa,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,2917437,Populus tristis,0,1076,6;16;30;32;41;53;56,A;B,0,0,0,0,0,0,1076,0,,,NO
748,Populus fremontii,1,ACCEPTED_SPECIES,RESOLVED,2917269,Populus fremontii,0,190,4;6;8;35;49,A;B,0,0,0,0,0,0,190,0,,,NO
749,Populus angustifolia,1,ACCEPTED_SPECIES,RESOLVED,2921945,Populus angustifolia,0,340,4;8;16;30;32;35;49;56,A;B,0,0,0,0,0,0,340,0,,,NO
752,Populus alba,1,ACCEPTED_SPECIES,RESOLVED,2917735,Populus alba,0,5,5;55,B,0,0,0,0,0,0,5,0,,,NO
753,Populus nigra,1,ACCEPTED_SPECIES,RESOLVED,2917497,Populus nigra,0,85,27;42,A;B,0,0,0,0,0,0,85,0,,,NO
756,Prosopis glandulosa,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,2383853,Neltuma glandulosa,0,20347,4;6;32;35;40;48,A;B,0,0,0,0,0,0,20347,0,,,NO
757,Prosopis velutina,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,2383876,Neltuma velutina,0,2149,4;35,A;B,0,0,0,0,0,0,2149,0,,,NO
758,Prosopis pubescens,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,2596955,Strombocarpa pubescens,0,2,32,A,0,0,0,0,0,0,2,0,,,NO
760,Prunus spp.,1,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,,,0,7,5;17;20;28;29;37;48,A;B,0,0,0,0,0,0,7,0,,,NO
761,Prunus pensylvanica,1,ACCEPTED_SPECIES,RESOLVED,2961130,Prunus pensylvanica,0,964,9;17;23;24;25;26;27;33;36;37;42;47;50;51;54;55,A;B,0,0,0,0,0,0,964,0,,,NO
762,Prunus serotina,1,ACCEPTED_SPECIES,RESOLVED,2915966,Prunus serotina,0,31598,1;5;9;10;12;13;17;18;19;20;21;22;23;24;25;26;27;28;29;31;33;34;36;37;39;40;42;44;45;47;48;50;51;54;55,A;B,0,0,0,0,0,0,31598,0,,,NO
763,Prunus virginiana,1,ACCEPTED_SPECIES,RESOLVED,2962364,Prunus virginiana,0,109,6;8;23;26;27;36;39;41;42;46;47;53;55,A;B,0,0,0,0,0,0,109,0,,,NO
764,Prunus persica,1,ACCEPTED_SPECIES,RESOLVED,2901279,Prunus persica,0,2,40,B,0,0,0,0,0,0,2,0,,,NO
766,Prunus americana,1,ACCEPTED_SPECIES,RESOLVED,2958765,Prunus americana,0,70,1;5;16;17;19;20;26;27;28;29;31;37;38;39;40;48;51;54;55,A;B,0,0,0,0,0,0,70,0,,,NO
768,Prunus emarginata,1,ACCEPTED_SPECIES,RESOLVED,2959716,Prunus emarginata,0,565,6;16;41;53,A;B,0,0,0,0,0,0,565,0,,,NO
771,Prunus avium,1,ACCEPTED_SPECIES,RESOLVED,2917143,Prunus avium,0,249,9;17;24;26;34;36;37;39;41;42;47;51;53;54,A;B,0,0,0,0,0,0,249,0,,,NO
773,Prunus domestica,1,ACCEPTED_SPECIES,RESOLVED,2959531,Prunus domestica,0,2,39;53,B,0,0,0,0,0,0,2,0,,,NO
801,Quercus agrifolia,1,ACCEPTED_SPECIES,RESOLVED,171483,Quercus agrifolia,0,1877,6,A;B,0,0,0,0,0,0,1877,0,,,NO
802,Quercus alba,1,ACCEPTED_SPECIES,RESOLVED,171499,Quercus alba,0,53802,1;5;9;10;12;13;17;18;19;20;21;22;23;24;25;26;27;28;29;33;34;36;37;39;40;42;44;45;47;48;50;51;54;55,A;B,0,0,0,0,0,0,53802,0,,,NO
803,Quercus arizonica,1,ACCEPTED_SPECIES,RESOLVED,171655,Quercus arizonica,0,3160,4;35,A;B,0,0,0,0,0,0,3160,0,,,NO
804,Quercus bicolor,1,ACCEPTED_SPECIES,RESOLVED,171779,Quercus bicolor,0,813,1;9;10;17;18;19;21;22;23;24;25;26;27;29;34;36;37;39;42;44;45;47;51;54;55,A;B,0,0,0,0,0,0,813,0,,,NO
805,Quercus chrysolepis,1,ACCEPTED_SPECIES,RESOLVED,172147,Quercus chrysolepis,0,10181,6;41,A;B,0,0,0,0,0,0,10181,0,,,NO
