analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
21620,Betula populifolia,Marshall,SINGLE_SPECIES_LAYER,0,1,Betula_populifolia,ATLASG-0091,Betula populifolia,Betula populifolia,Marshall,SPECIES,individual_taxa/atlas_pages/Betula_populifolia.pdf,Betula_populifolia,639,Little (1971),,,redigitized,1,,21620,Betula populifolia,Betula populifolia,Marshall,21620,Marshall,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
34302,Carpinus caroliniana,Walter,SINGLE_SPECIES_LAYER,0,1,Carpinus_caroliniana,ATLASG-0108,Carpinus caroliniana,Carpinus caroliniana,Walter,SPECIES,individual_taxa/atlas_pages/Carpinus_caroliniana.pdf,Carpinus_caroliniana,3758,Little (1971),,,redigitized,1,,34302,Carpinus caroliniana,Carpinus caroliniana,Walter,34302,Walter,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
34965,Castanea dentata,(Marshall) Borkh.,SINGLE_SPECIES_LAYER,0,1,Castanea_dentata,ATLASG-0121,Castanea dentata,Castanea dentata,(Marshall) Borkh.,SPECIES,individual_taxa/atlas_pages/Castanea_dentata.pdf,Castanea_dentata,1158,Little (1977),,,redigitized,1,,34965,Castanea dentata,Castanea dentata,(Marshall)Borkh.,34965,(Marshall) Borkh.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
35016,Castanea mollissima,Blume,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
35021,Castanea ozarkensis,Ashe,SINGLE_SPECIES_LAYER,0,1,Castanea_ozarkensis,ATLASG-0122,Castanea ozarkensis,Castanea ozarkensis,Ashe,SPECIES,individual_taxa/atlas_pages/Castanea_ozarkensis.pdf,Castanea_ozarkensis,85,Little (1977),,,redigitized,1,,35021,Castanea ozarkensis,Castanea ozarkensis,Ashe,35021,Ashe,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
35028,Castanea pumila,(L.) Mill.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0120,Castanea alnifolia,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_alnifolia.pdf,Castanea_alnifolia,74,Little (1977),,,redigitized,1,,35028,Castanea pumila,Castanea pumila,(L.)Mill.,35028,(L.) Mill.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
35028,Castanea pumila,(L.) Mill.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0123,Castanea pumila,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_pumila.pdf,Castanea_pumila,1340,Little (1977),,,redigitized,1,,35028,Castanea pumila,Castanea pumila,(L.)Mill.,35028,(L.) Mill.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
39927,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,SINGLE_OFFICIAL_ALIAS_LAYER,0,1,Castanopsis_chrysophylla,ATLASG-0124,Castanopsis chrysophylla,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,SPECIES,individual_taxa/atlas_pages/Castanopsis_chrysophylla.pdf,Castanopsis_chrysophylla,119,Little (1971),,,redigitized,1,,39927,Chrysolepis chrysophylla,Chrysolepis chrysophylla,(Douglas ex Hook.)Hjelmq.,39927,(Douglas ex Hook.) Hjelmq.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
47363,Cornus florida,L.,SINGLE_SPECIES_LAYER,0,1,Cornus_florida,ATLASG-0181,Cornus florida,Cornus florida,L.,SPECIES,individual_taxa/atlas_pages/Cornus_florida.pdf,Cornus_florida,2910,Little (1971),,,redigitized,1,,47363,Cornus florida,Cornus florida,L.,47363,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
47451,Cornus nuttallii,Audubon ex Torr. & A.Gray,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
73008,Eucalyptus globulus,Labill.,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
