fia_species_code,fia_name_raw,fia_scientific_name,fia_concept_author,fia_author_evidence_status,matched_wcvp_plant_name_id,matched_wcvp_taxon_name,matched_wcvp_taxon_authors,matched_wcvp_taxon_status,matched_wcvp_taxon_rank,accepted_taxon_id,accepted_taxon_name,accepted_taxon_authors,accepted_taxon_status,accepted_taxon_rank,terminal_target_taxon_id,terminal_target_taxon_name,terminal_target_taxon_authors,terminal_target_taxon_status,terminal_target_taxon_rank,analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,mapping_class,taxonomy_resolution_status,hybrid_or_nothotaxon_flag,ordinary_analysis_species_flag,no_analysis_species_reason,distribution_query_plant_name_id,terminal_target_hybrid_formula,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,distribution_query_taxon_name,diameter_measurement_basis,woodland_indicator,dia_threshold_inches,main_analysis_candidate_retained_flag,dbh_only_sensitivity_component_flag,supplementary_sensitivity_candidate_flag,d08b1_correction_applied_flag,d08b1_correction_case_class,d08b1_authority_source,v01_mapping_class,v01_taxonomy_resolution_status
69,Juniperus monosperma,Juniperus monosperma,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377543,Juniperus monosperma,(Engelm.) Sarg.,Accepted,Species,377543,Juniperus monosperma,(Engelm.) Sarg.,Accepted,Species,377543,Juniperus monosperma,(Engelm.) Sarg.,Accepted,Species,377543,Juniperus monosperma,(Engelm.) Sarg.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377543,,,0,Juniperus monosperma,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
70,Larix spp.,Larix spp.,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,,,,,,,,,,,,,,,,,,,,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,,,,0,,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES
71,Larix laricina,Larix laricina,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379072,Larix laricina,(Du Roi) K.Koch,Accepted,Species,379072,Larix laricina,(Du Roi) K.Koch,Accepted,Species,379072,Larix laricina,(Du Roi) K.Koch,Accepted,Species,379072,Larix laricina,(Du Roi) K.Koch,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379072,,,0,Larix laricina,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
72,Larix lyallii,Larix lyallii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379089,Larix lyallii,Parl.,Accepted,Species,379089,Larix lyallii,Parl.,Accepted,Species,379089,Larix lyallii,Parl.,Accepted,Species,379089,Larix lyallii,Parl.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379089,,,0,Larix lyallii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
73,Larix occidentalis,Larix occidentalis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,379096,Larix occidentalis,Nutt.,Accepted,Species,379096,Larix occidentalis,Nutt.,Accepted,Species,379096,Larix occidentalis,Nutt.,Accepted,Species,379096,Larix occidentalis,Nutt.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,379096,,,0,Larix occidentalis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
81,Calocedrus decurrens,Calocedrus decurrens,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,382424,Calocedrus decurrens,(Torr.) Florin,Accepted,Species,382424,Calocedrus decurrens,(Torr.) Florin,Accepted,Species,382424,Calocedrus decurrens,(Torr.) Florin,Accepted,Species,382424,Calocedrus decurrens,(Torr.) Florin,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,382424,,,0,Calocedrus decurrens,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
91,Picea abies,Picea abies,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380406,Picea abies,(L.) H.Karst.,Accepted,Species,380406,Picea abies,(L.) H.Karst.,Accepted,Species,380406,Picea abies,(L.) H.Karst.,Accepted,Species,380406,Picea abies,(L.) H.Karst.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380406,,,0,Picea abies,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
92,Picea breweriana,Picea breweriana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380618,Picea breweriana,S.Watson,Accepted,Species,380618,Picea breweriana,S.Watson,Accepted,Species,380618,Picea breweriana,S.Watson,Accepted,Species,380618,Picea breweriana,S.Watson,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380618,,,0,Picea breweriana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
93,Picea engelmannii,Picea engelmannii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380614,Picea engelmannii,Engelm.,Accepted,Species,380614,Picea engelmannii,Engelm.,Accepted,Species,380614,Picea engelmannii,Engelm.,Accepted,Species,380614,Picea engelmannii,Engelm.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,380614,,,0,Picea engelmannii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
94,Picea glauca,Picea glauca,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,380651,Picea glauca,(Moench) Voss,Synonym,Species,381078,Picea laxa,(Münchh.) Sarg.,Accepted,Species,381078,Picea laxa,(Münchh.) Sarg.,Accepted,Species,381078,Picea laxa,(Münchh.) Sarg.,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,381078,,,0,Picea laxa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
