analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,analysis_species_hybrid_flag,ordinary_core_class,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name,source_code_map_version
117615,Magnolia grandiflora,L.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,554723-1,554723-1,Y,1,652,Magnolia grandiflora,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117615,Magnolia grandiflora,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
117698,Magnolia macrophylla,Michx.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30417720-2,30417720-2,Y,1,654,Magnolia macrophylla,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117698,Magnolia macrophylla,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
117869,Magnolia tripetala,(L.) L.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,554866-1,554866-1,Y,1,658,Magnolia tripetala,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117869,Magnolia tripetala,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
117883,Magnolia virginiana,L.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30016308-2,30016308-2,Y,1,653,Magnolia virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117883,Magnolia virginiana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
123857,Melaleuca quinquenervia,(Cav.) S.T.Blake,Myrtaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,598073-1,598073-1,Y,1,992,Melaleuca quinquenervia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,123857,Melaleuca quinquenervia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
136188,Nyssa aquatica,L.,Nyssaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,302695-2,302695-2,Y,1,691,Nyssa aquatica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136188,Nyssa aquatica,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
136191,Nyssa biflora,Walter,Nyssaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,171263-2,171263-2,Y,1,694,Nyssa biflora,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136191,Nyssa biflora,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
136212,Nyssa ogeche,W.Bartram ex Marshall,Nyssaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,271947-1,271947-1,Y,1,692,Nyssa ogeche,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136212,Nyssa ogeche,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
136221,Nyssa sylvatica,Marshall,Nyssaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,271953-1,271953-1,Y,1,693,Nyssa sylvatica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136221,Nyssa sylvatica,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
144637,Ostrya virginiana,(Mill.) K.Koch,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295672-1,295672-1,Y,1,701,Ostrya virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,144637,Ostrya virginiana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
