analysis_species_id,analysis_species_name,wcvp_distribution_record_count,confirmed_current_native_record_count,native_historical_extinct_record_count,native_location_doubtful_record_count,introduced_audit_record_count,all_distribution_flags_valid_binary,confirmed_native_CONUS,confirmed_native_Canada,confirmed_native_Alaska,confirmed_native_Mexico,confirmed_native_Central_America,confirmed_native_outside_USA_Canada,confirmed_native_outside_North_America,transcontinental_circumboreal_global_extension_flag,introduced_in_CONUS_audit_flag,extinct_native_outside_primary_CONUS_domain_flag,doubtful_native_outside_primary_CONUS_domain_flag,confirmed_native_level3_areas,confirmed_native_outside_USA_Canada_level3_areas,confirmed_native_outside_North_America_level3_areas,introduced_CONUS_level3_areas,extinct_native_outside_domain_level3_areas,doubtful_native_outside_domain_level3_areas,macro_region_rule_version
113859,Liriodendron tulipifera,31,28,0,0,3,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;KTY:Kentucky;LOU:Louisiana;MAS:Massachusetts;MIC:Michigan;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WDC:District of Columbia;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
117423,Magnolia acuminata,23,23,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;KTY:Kentucky;LOU:Louisiana;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;ONT:Ontario;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;VRG:Virginia;WDC:District of Columbia;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
117583,Magnolia fraseri,12,12,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;FLA:Florida;GEO:Georgia;KTY:Kentucky;LOU:Louisiana;MSI:Mississippi;NCA:North Carolina;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
117615,Magnolia grandiflora,22,8,0,0,14,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ALA:Alabama;FLA:Florida;GEO:Georgia;LOU:Louisiana;MSI:Mississippi;NCA:North Carolina;SCA:South Carolina;TEX:Texas,,,ARK:Arkansas;KTY:Kentucky;MRY:Maryland;TEN:Tennessee;VRG:Virginia,,,TAXON_RANGE_BUILD_CONTRACT_v01
117698,Magnolia macrophylla,16,11,0,0,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;GEO:Georgia;KTY:Kentucky;LOU:Louisiana;MSI:Mississippi;NCA:North Carolina;OHI:Ohio;SCA:South Carolina;TEN:Tennessee;VRG:Virginia,,,ILL:Illinois;MRY:Maryland;NWY:New York;PEN:Pennsylvania,,,TAXON_RANGE_BUILD_CONTRACT_v01
117869,Magnolia tripetala,18,17,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;FLA:Florida;GEO:Georgia;INI:Indiana;KTY:Kentucky;MRY:Maryland;MSI:Mississippi;NCA:North Carolina;NWY:New York;OHI:Ohio;OKL:Oklahoma;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;VRG:Virginia;WVA:West Virginia,,,MAS:Massachusetts,,,TAXON_RANGE_BUILD_CONTRACT_v01
117883,Magnolia virginiana,19,19,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CUB:Cuba;DEL:Delaware;FLA:Florida;GEO:Georgia;LOU:Louisiana;MAS:Massachusetts;MRY:Maryland;MSI:Mississippi;NCA:North Carolina;NWJ:New Jersey;NWY:New York;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WDC:District of Columbia,CUB:Cuba,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
123857,Melaleuca quinquenervia,19,4,0,0,15,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NSW:New South Wales;NWC:New Caledonia;NWG:New Guinea;QLD:Queensland,NSW:New South Wales;NWC:New Caledonia;NWG:New Guinea;QLD:Queensland,NSW:New South Wales;NWC:New Caledonia;NWG:New Guinea;QLD:Queensland,FLA:Florida;LOU:Louisiana,,,TAXON_RANGE_BUILD_CONTRACT_v01
136188,Nyssa aquatica,15,15,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;FLA:Florida;GEO:Georgia;ILL:Illinois;KTY:Kentucky;LOU:Louisiana;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WDC:District of Columbia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
136191,Nyssa biflora,17,17,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;KTY:Kentucky;LOU:Louisiana;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
136212,Nyssa ogeche,4,4,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;FLA:Florida;GEO:Georgia;SCA:South Carolina,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
136221,Nyssa sylvatica,34,34,0,0,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;FLA:Florida;GEO:Georgia;ILL:Illinois;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MRY:Maryland;MSI:Mississippi;MSO:Missouri;MXC:Mexico Central;MXE:Mexico Northeast;MXG:Mexico Gulf;MXT:Mexico Southeast;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VER:Vermont;VRG:Virginia;WIS:Wisconsin,MXC:Mexico Central;MXE:Mexico Northeast;MXG:Mexico Gulf;MXT:Mexico Southeast,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
