group_type,group_value,weighting,estimand,target_count,zero_opportunity_target_count,zplus_target_count,raw_selected_y_zero_opportunities,raw_z0_events,raw_zplus_events,weighted_selected_y_zero_opportunities,weighted_z0_mass,weighted_zplus_mass,hidden_positive_frequency
REFERENCE_STRENGTH,R1,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,288,288,101,93877,93549,328,93877.0,93549.0,328.0,0.0034939335513491055
REFERENCE_STRENGTH,R2,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1057,1057,482,714829,710191,4638,1054.5189044346262,1047.9690721649486,6.549832269677631,0.006211204220363677
REFERENCE_STRENGTH,R2,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1057,1057,482,714829,710191,4638,714829.0,710191.0,4638.0,0.006488265025621512
REFERENCE_STRENGTH,R3,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1128,1128,569,1474541,1460869,13672,1125.1683684779273,1114.9175257731958,10.250842704731426,0.009110496697128328
REFERENCE_STRENGTH,R3,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1128,1128,569,1474541,1460869,13672,1474541.0,1460869.0,13672.0,0.009272037874836983
REFERENCE_STRENGTH,R4,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1002,1002,549,3030743,2973338,57405,998.8842808578962,981.319587628866,17.564693229030258,0.017584312382956654
REFERENCE_STRENGTH,R4,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1002,1002,549,3030743,2973338,57405,3030743.0,2973338.0,57405.0,0.018940899970733248
REFERENCE_STRENGTH,R5,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1165,1165,721,20728759,19611416,1117343,1159.7118528807982,1099.4639175257732,60.24793535502493,0.05195078001950675
REFERENCE_STRENGTH,R5,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1165,1165,721,20728759,19611416,1117343,20728759.0,19611416.0,1117343.0,0.05390303394428967
TARGET_N_BAND,N_2_4,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,288,288,101,93877,93549,328,287.3548109965636,286.4123711340206,0.9424398625429553,0.00327970796547487
TARGET_N_BAND,N_2_4,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,288,288,101,93877,93549,328,93877.0,93549.0,328.0,0.0034939335513491055
TARGET_N_BAND,N_5_9,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1057,1057,482,714829,710191,4638,1054.5189044346262,1047.9690721649486,6.549832269677631,0.006211204220363677
TARGET_N_BAND,N_5_9,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1057,1057,482,714829,710191,4638,714829.0,710191.0,4638.0,0.006488265025621512
TARGET_N_BAND,N_10_24,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1422,1422,732,2091171,2069511,21660,1418.2964719335632,1404.278350515464,14.018121418099337,0.009883773735253275
TARGET_N_BAND,N_10_24,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1422,1422,732,2091171,2069511,21660,2091171.0,2069511.0,21660.0,0.010357833003613764
TARGET_N_BAND,N_25_99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1286,1286,719,6350867,6155626,195241,1281.5218101776832,1247.020618556701,34.50119162098209,0.026922047948757497
TARGET_N_BAND,N_25_99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1286,1286,719,6350867,6155626,195241,6350867.0,6155626.0,195241.0,0.030742416744044553
TARGET_N_BAND,N_GE_100,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,587,587,388,16792005,15820486,971519,583.9462201053752,544.40206185567,39.544158249705184,0.0677188358930884
TARGET_N_BAND,N_GE_100,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,587,587,388,16792005,15820486,971519,16792005.0,15820486.0,971519.0,0.05785604518340722
