group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H2_FOLD_TI_BAND,B|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4,4,2,19,3757,3.9871134020618557,3.9587628865979383,0.9928894634776988,8.29032653079064e-05,0.0,0.0,0.0,0.0,0.04660998228038563,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4,4,2,19,3757,3776.0,3757.0,0.994968220338983,3.089850530230548e-05,0.0,0.0,0.0,0.0,0.04660998228038563,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4384,4384,2308,1190076,24656633,4370.3623590535535,4276.599842172388,0.9785458254538256,0.0003135433806721763,0.0,0.0,0.0,0.0031391999057796584,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4384,4384,2308,1190076,24656633,25846709.0,24656854.0,0.9539649322472737,0.0009380772090864033,0.0,0.0,0.0,0.017323697674638268,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,216,216,95,3211,177265,215.43503876116995,213.9381443298969,0.9930517596400253,0.0001351975535611371,0.0,0.0,0.0,0.0,0.38169362951953767,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,216,216,95,3211,177265,180476.0,177265.0,0.9822081606418582,0.0007968490607436825,0.0,0.0,0.0,0.0063784018944531935,0.38169362951953767,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,40,40,19,99,15465,39.84081983308787,39.618556701030926,0.9944212209239641,4.743540665540739e-05,0.0,0.0,0.0,0.0,0.065063920457783,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,40,40,19,99,15465,15564.0,15465.0,0.993639167309175,5.10209631659339e-05,0.0,0.0,0.0,0.0,0.065063920457783,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H4_ALL,ALL,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4640,4640,2422,1193386,24849363,4625.638217647811,4530.156543203316,0.979358162062867,0.00030294508099571805,0.0,0.0,0.0,0.002905309499471576,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H4_ALL,ALL,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,4640,4640,2422,1193386,24849363,26042749.0,24849584.0,0.9541843681709639,0.0009365683655034234,0.0,0.0,0.0,0.017251231892616643,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
