group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
REFERENCE_STRENGTH,R1,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,288,102,102,213,0,0.6451890034364262,0.005154639175257732,0.007989347536617843,0.011283568144949506,0.0032493429895243857,0.029004533282307877,0.055452256211125275,0.10012755003545115,0.3329962472317378,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R1,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,288,102,102,213,0,213.0,2.0,0.009389671361502348,0.011929212171554167,0.0033335355295854327,0.02959917615756606,0.05611018188956324,0.0980847135985019,0.3329962472317378,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R2,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1057,486,486,1710,0,2.481095565373916,0.011123384061528392,0.00448325498492116,0.02080578076267364,0.005591251036606107,0.043174214496905755,0.08179616506144882,0.3034392815295427,0.4983341683693562,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R2,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1057,486,486,1710,0,1710.0,7.0,0.004093567251461989,0.021515205911813468,0.005606956220900715,0.045681355714589165,0.08638805627336191,0.3059290772862182,0.4983341683693562,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R3,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1128,569,569,3739,0,2.8316315220726986,0.005713058419243986,0.0020175854007523334,0.02390747440204247,0.007234459353150838,0.05524849764864479,0.10774133601637027,0.30440662573424404,0.6031798848975848,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R3,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1128,569,569,3739,0,3739.0,7.0,0.0018721583311045735,0.023955719476882315,0.007432771699658804,0.05460824138856666,0.10769607321187583,0.3023892180548413,0.6031798848975848,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R4,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1002,549,549,9722,0,3.115719142103763,0.0005154639175257732,0.00016543978902338648,0.03564801694608,0.01250676986393446,0.08377498257628524,0.15395763630610387,0.389631832895602,0.746960804873067,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R4,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1002,549,549,9722,0,9722.0,1.0,0.00010285949393128986,0.038563003892261916,0.013485215582642138,0.09418545775315637,0.16787015637799785,0.4089824011427342,0.746960804873067,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R5,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1165,721,721,80166,0,5.288147119201876,0.0007287577139800871,0.00013780965195425127,0.09023101883607883,0.040705546254267734,0.23054045579921148,0.36876426365231535,0.6971580805080715,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
REFERENCE_STRENGTH,R5,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1165,721,721,80166,0,80166.0,9.0,0.00011226704587979942,0.11731595256767677,0.05509944087807218,0.30937256609170505,0.4763555429922116,0.7841694162829379,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
