group_type,group_value,state,target_equal_mean,event_equal_mean,target_equal_p95,event_equal_p95,target_minus_event_mean,target_minus_event_p95,target_equal_quantile_method,event_equal_quantile_method
H4_ALL,ALL,ZPLUS_CONDITIONAL,0.01466488872707715,0.02043832830630317,0.053572442591488745,0.07939577565931182,-0.00577343957922602,-0.02582333306782307,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H4_ALL,ALL,POSITIVE,0.049772543279747804,0.10370028819263999,0.22801588374405032,0.4348818582053421,-0.053927744912892185,-0.20686597446129176,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,A,ZERO_MIXTURE,0.0002998523154130792,0.000949485752309228,0.0,0.0,-0.0006496334368961488,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,A,ZPLUS_CONDITIONAL,0.015635714649071125,0.02258098353628504,0.055774708438023214,0.08566262591212885,-0.006945268887213914,-0.029887917474105637,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,A,POSITIVE,0.04887481382602598,0.10299118902067944,0.22421582310043237,0.42865603900214755,-0.05411637519465346,-0.20444021590171518,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,B,ZERO_MIXTURE,0.0003060483460434284,0.0009278448676688968,0.0,0.0,-0.0006217965216254685,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,B,ZPLUS_CONDITIONAL,0.013821243264575109,0.01918056230367317,0.05146990818119752,0.07702932399285986,-0.005359319039098063,-0.025559415811662343,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,B,POSITIVE,0.05069071024411573,0.1041714152240105,0.23422539032784762,0.43863652260954594,-0.053480704979894766,-0.20441113228169833,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL1,ZERO_MIXTURE,0.0003190644776666944,0.0009536464609103037,0.0,0.0,-0.0006345819832436093,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL1,ZPLUS_CONDITIONAL,0.014824662065248833,0.02046087459273014,0.05394678736640584,0.07939577565931183,-0.005636212527481307,-0.02544898829290599,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL1,POSITIVE,0.050675289539265374,0.10397184359457057,0.23191536405371363,0.4359586597276812,-0.053296554055305194,-0.2040432956739676,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL2,ZERO_MIXTURE,1.1827687576212992e-05,8.262625943218374e-06,0.0,0.0,3.565061632994617e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL2,ZPLUS_CONDITIONAL,0.0023461181414839013,0.0025828529489148174,0.010531767986588832,0.013215788556567996,-0.00023673480743091613,-0.0026840205699791633,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL2,POSITIVE,0.009200625860311439,0.013247652495037173,0.02823554918676906,0.046405345216791655,-0.004047026634725734,-0.018169796030022594,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R1,ZERO_MIXTURE,2.863893342167054e-05,3.111769225489889e-05,0.0,0.0,-2.4787588332283524e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R1,ZPLUS_CONDITIONAL,0.008732159607852128,0.008906206084796168,0.032136364191345544,0.032136364191345544,-0.00017404647694404043,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R1,POSITIVE,0.011283568144949506,0.011929212171554167,0.055452256211125275,0.05611018188956324,-0.0006456440266046602,-0.0006579256784379622,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R2,ZERO_MIXTURE,7.762122402565712e-05,8.28121563617225e-05,0.0,0.0,-5.190932336065376e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R2,ZPLUS_CONDITIONAL,0.012496968586409201,0.012763374497605376,0.034873185018369224,0.03610933290463082,-0.0002664059111961749,-0.0012361478862615988,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R2,POSITIVE,0.02080578076267364,0.021515205911813468,0.08179616506144882,0.08638805627336191,-0.0007094251491398286,-0.004591891211913085,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R3,ZERO_MIXTURE,9.85405076110371e-05,9.470245938486514e-05,0.0,0.0,3.838048226171957e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R3,ZPLUS_CONDITIONAL,0.010816150961571342,0.010213769687230721,0.03295541069729807,0.031845292487429476,0.0006023812743406205,0.001110118209868595,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R3,POSITIVE,0.02390747440204247,0.023955719476882315,0.10774133601637027,0.10769607321187583,-4.824507483984497e-05,4.526280449444753e-05,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R4,ZERO_MIXTURE,0.00015048980375246808,0.00016296287934289226,0.0,0.0,-1.247307559042418e-05,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R4,ZPLUS_CONDITIONAL,0.008558185300343513,0.008603755871933025,0.029113704731737213,0.02933678313286219,-4.557057158951182e-05,-0.00022307840112497854,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R4,POSITIVE,0.03564801694608,0.038563003892261916,0.15395763630610387,0.16787015637799785,-0.002914986946181919,-0.013912520071893975,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R5,ZERO_MIXTURE,0.0009054276688623,0.0011431053751282492,0.00014688319371455573,0.00028371403868389074,-0.0002376777062659492,-0.000136830844969335,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R5,ZPLUS_CONDITIONAL,0.01742856735783996,0.021206698240950245,0.06499994789232527,0.0815432492318906,-0.003778130883110284,-0.01654330133956533,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
REFERENCE_STRENGTH,R5,POSITIVE,0.09023101883607883,0.11731595256767677,0.36876426365231535,0.4763555429922116,-0.02708493373159794,-0.10759127933989626,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_2_4,ZERO_MIXTURE,2.863893342167054e-05,3.111769225489889e-05,0.0,0.0,-2.4787588332283524e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_2_4,ZPLUS_CONDITIONAL,0.008732159607852128,0.008906206084796168,0.032136364191345544,0.032136364191345544,-0.00017404647694404043,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_2_4,POSITIVE,0.011283568144949506,0.011929212171554167,0.055452256211125275,0.05611018188956324,-0.0006456440266046602,-0.0006579256784379622,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_5_9,ZERO_MIXTURE,7.762122402565712e-05,8.28121563617225e-05,0.0,0.0,-5.190932336065376e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
TARGET_N_BAND,N_5_9,ZPLUS_CONDITIONAL,0.012496968586409201,0.012763374497605376,0.034873185018369224,0.03610933290463082,-0.0002664059111961749,-0.0012361478862615988,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
