layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error,cell_bias,cell_relative_bias,cell_rmse,cell_relative_rmse,cell_mass_correlation,ci95_coverage_all_support,ci95_coverage_positive_exposure
A1,SYN002,STRONG,BA,A,65,0,0.0,0.24161497218890518,30.444266591747596,45.86629868396374,3.334547922349198,3.164887572527399,-0.169660349821799,0.054854186684438755,0.0608457600831456,0.005991573398706845,100000000.0,0.0,9.111737689146629e-11,-0.006434167605949498,1325857.0392326193,0.9405388340260737,0.8676246289875984,,
A2,SYN002,STRONG,BA,A,65,0,0.0,0.08601173532393531,2.933812423001837,2.9887561648023175,3.334547922349198,3.301624020034338,-0.032923902314859976,0.054854186684438755,0.056032943976648146,0.0011787572922093911,102548648.95173554,0.025486489517355437,39209.98387285447,0.03632250905624126,337641.6917107163,0.6540725414585474,0.9918968619620806,0.8923076923076924,0.8923076923076924
A1,SYN002,PAIRED_NULL,AB,B,65,0,0.0,0.23508449452287666,26.501649831552125,32.93322255757137,3.3345479223491976,3.3652771710746174,0.030729248725419822,0.054854186684438755,0.06122448979591837,0.006370303111479618,100000000.0,2.220446049250313e-16,7.947584470877281e-11,0.4116924881801551,1179190.3270737233,1.5196688371259162,0.896557239103066,,
A2,SYN002,PAIRED_NULL,AB,B,65,0,0.0,0.08393500441024927,4.3163835111120825,6.226696151411483,3.3345479223491976,3.289378505111688,-0.045169417237509446,0.054854186684438755,0.056451110113005146,0.0015969234285663908,99570388.02039984,-0.004296119796001419,-6609.415070771759,0.011791424496479483,315807.91075450694,0.49570320482316305,0.9920382493538267,0.8461538461538461,0.8461538461538461
A1,SYN002,PAIRED_NULL,BA,A,65,0,0.0,0.3070951963315455,40.33289436976127,56.500772817241916,3.3345479223491976,3.3951423979068216,0.060594475557623984,0.054854186684438755,0.052491349480968855,-0.0023628372034699002,100000000.0,2.220446049250313e-16,1.1619144620803686e-10,0.8207001354774257,1297107.6327685046,2.1888924636134486,0.8575942875337424,,
A2,SYN002,PAIRED_NULL,BA,A,65,0,0.0,0.0928354879551304,3.1546801988637485,4.170319642853623,3.3345479223491976,3.3585038612306666,0.023955938881468963,0.054854186684438755,0.05137591065821245,-0.003478276026226308,103286196.37541974,0.03286196375419759,50556.867314149946,0.15548926672122293,378269.1314411165,0.7286207429708452,0.9883627756170466,0.8923076923076924,0.8923076923076924
A1,SYN003,STRONG,AB,B,175,1,0.0008766020190535425,0.19917060510995824,22.211407107861678,33.75817377522003,3.9910630047636566,3.968638495225443,-0.0224245095382134,0.03223603351469619,0.028962594997151092,-0.0032734385175451006,100000000.0,-1.1102230246251565e-16,-3.193105970110212e-11,-0.07747537032941776,427623.0522356141,1.428180590064056,0.9377332379613522,,
A2,SYN003,STRONG,AB,B,175,1,0.0008766020190535425,0.1305029626304343,3.0818603946337086,3.525253502120346,3.9910630047636566,3.930638532930257,-0.06042447183339972,0.03223603351469619,0.03282252710337464,0.0005864935886784467,102743542.03131291,0.027435420313129066,15677.383036073721,0.09948601504526003,204260.14103090024,1.8947370958936733,0.9875486114915182,0.6685714285714286,0.6724137931034483
A1,SYN003,STRONG,BA,A,175,4,0.0008435012703586149,0.23725558038753852,19.553147604491752,28.647042344039107,3.9910630047636566,3.839034364421736,-0.15202864034192043,0.03223603351469619,0.0340934660655954,0.0018574325508992073,100000000.0,-1.1102230246251565e-16,-4.257474626813616e-11,-0.19626681013910713,499334.5126862527,1.4092531493332485,0.9210502718252712,,
A2,SYN003,STRONG,BA,A,175,4,0.0008435012703586149,0.16126045404977346,5.085913256232795,4.8422051344728505,3.9910630047636566,3.8545858169884024,-0.1364771877752542,0.03223603351469619,0.03618647898945282,0.003950445474756627,97108632.75126475,-0.02891367248735266,-16522.09856420135,0.095649008680728,234461.65103126864,2.1337465078735303,0.9834663055106672,0.5885714285714285,0.6023391812865497
A1,SYN003,PAIRED_NULL,AB,B,175,1,0.0011874585895371554,0.2977625376215817,26.23374908368819,21.49127559824851,3.9910630047636566,3.6939348357818065,-0.2971281689818501,0.03223603351469619,0.04234889861537732,0.010112865100681129,99999999.99999999,-3.3306690738754696e-16,-8.24885708945138e-11,-0.04953581882516846,779173.7647868063,1.5101525135012177,0.8426481669714802,,
A2,SYN003,PAIRED_NULL,AB,B,175,1,0.0011874585895371554,0.12902544922644188,4.6731892180498456,4.85437929569822,3.9910630047636566,3.9676354635583717,-0.023427541205284896,0.03223603351469619,0.03214528330134099,-9.075021335520211e-05,99112937.9914283,-0.008870620085717151,-5068.925763266879,0.01144723999759898,191686.83146549962,1.1358574172951454,0.987813075298151,0.6914285714285714,0.6954022988505747
A1,SYN003,PAIRED_NULL,BA,A,175,4,0.0325634301066906,0.3652999149081977,30.730066560541026,15.378480981575011,3.9910630047636566,3.5465230917574244,-0.4445399130062322,0.03223603351469619,0.052798262679274295,0.020562229164578102,100000000.00000001,0.0,-6.386211940220424e-11,-0.02590837218503576,874603.6963623272,2.159953249777217,0.8520575761608461,,
A2,SYN003,PAIRED_NULL,BA,A,175,4,0.0325634301066906,0.21668095960030997,9.739922163694187,13.984332042897366,3.9910630047636566,3.827492710317601,-0.16357029444605553,0.03223603351469619,0.038180041607301415,0.005944008092605223,101615718.66936229,0.01615718669362276,9232.678110641627,0.04780818499255836,371376.7215766459,1.5726081191358436,0.9664208235336083,0.5714285714285714,0.5847953216374269
