state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D3,SYN022,STRONG,AB,B,168,164,4,0.9761904761904762,0.023809523809523836,0.9930597772232888,0.006940222776711247,0.9992960115055732,0.000703988494426766
D2,SYN023,STRONG,AB,B,170,170,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN023,STRONG,AB,B,170,166,4,0.9764705882352941,0.02352941176470591,0.9993741258641912,0.0006258741358088349,1.0,0.0
D2,SYN024,STRONG,AB,B,75,75,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN024,STRONG,AB,B,75,74,1,0.9866666666666667,0.013333333333333308,0.9994811074203988,0.0005188925796012489,1.0,0.0
D2,SYN025,STRONG,AB,B,133,132,1,0.9924812030075187,0.007518796992481258,0.9998191314113224,0.00018086858867760736,0.9999999999999997,3.3306690738754696e-16
D3,SYN025,STRONG,AB,B,133,121,12,0.9097744360902256,0.09022556390977443,0.9944074812258057,0.0055925187741943105,0.9955723037349934,0.004427696265006609
D2,SYN026,STRONG,AB,B,133,127,6,0.9548872180451128,0.045112781954887216,0.998777396921554,0.0012226030784460162,0.9999999999999999,1.1102230246251565e-16
D3,SYN026,STRONG,AB,B,133,121,12,0.9097744360902256,0.09022556390977443,0.9962490382165554,0.003750961783444584,0.998786263818459,0.0012137361815409697
D2,SYN027,STRONG,AB,B,147,147,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN027,STRONG,AB,B,147,147,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN028,STRONG,AB,B,175,172,3,0.9828571428571429,0.017142857142857126,0.999349408887213,0.0006505911127869801,1.0,0.0
D3,SYN028,STRONG,AB,B,175,168,7,0.96,0.040000000000000036,0.9852720413505434,0.01472795864945664,0.9910380714160776,0.008961928583922418
D2,SYN029,STRONG,AB,B,136,131,5,0.9632352941176471,0.03676470588235292,0.9986699076283918,0.0013300923716081936,1.0,0.0
D3,SYN029,STRONG,AB,B,136,121,15,0.8897058823529411,0.11029411764705888,0.9785005186108722,0.021499481389127828,0.9781854167284479,0.021814583271552057
D2,SYN030,STRONG,AB,B,88,88,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN030,STRONG,AB,B,88,88,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN031,STRONG,AB,B,87,86,1,0.9885057471264368,0.011494252873563204,0.9996135174200073,0.0003864825799927418,0.9999999999999999,1.1102230246251565e-16
