synthetic_species_id,world,orientation,target_fold,oracle_support_cells,zero_opportunity_support_cells,zero_opportunity_support_fraction,zero_opportunity_truth_mass_fraction,D0_hellinger,D1_hellinger,D1_minus_D0_hellinger,D0_sliced_wasserstein_km,D1_sliced_wasserstein_km,D1_minus_D0_sliced_wasserstein_km
SYN040,PAIRED_NULL,AB,B,91,1,0.01098901098901099,0.001626615345720174,0.11564434395774954,0.11202717355148153,-0.0036171704062680082,3.2439016883191596,3.0649284731846556,-0.17897321513450404
SYN041,PAIRED_NULL,AB,B,62,0,0.0,0.0,0.07669875824978621,0.07669875824978621,0.0,2.215116130044337,2.215116130044337,0.0
SYN042,PAIRED_NULL,AB,B,126,1,0.007936507936507936,0.0038263853080060346,0.11997068556881874,0.11159850417761716,-0.008372181391201577,3.07425513936001,3.6146939463570487,0.5404388069970385
SYN043,PAIRED_NULL,AB,B,110,0,0.0,0.0,0.11029375227374906,0.11029375227374906,0.0,5.581235843747167,5.581235843747167,0.0
SYN044,PAIRED_NULL,AB,B,119,0,0.0,0.0,0.11994622263911199,0.11994622263911199,0.0,2.9377436308025713,2.9377436308025713,0.0
SYN045,PAIRED_NULL,AB,B,79,1,0.012658227848101266,0.0002621010105253318,0.09786055708100398,0.09718221815662671,-0.0006783389243772697,2.177947016979938,2.1581939406187467,-0.01975307636119128
SYN046,PAIRED_NULL,AB,B,101,1,0.009900990099009901,0.0001675626245113037,0.1283588595839612,0.12802670703474542,-0.0003321525492157862,2.9760157467665445,2.9612282658652687,-0.014787480901275796
SYN047,PAIRED_NULL,AB,B,156,0,0.0,0.0,0.11966758670481907,0.11966758670481907,0.0,5.245463739809557,5.245463739809557,0.0
SYN048,PAIRED_NULL,AB,B,130,16,0.12307692307692308,0.015418216092368677,0.13181490084888706,0.0977797095913465,-0.03403519125754055,7.336860316598126,3.637338641315535,-3.699521675282591
SYN049,PAIRED_NULL,AB,B,100,1,0.01,0.00024242697261766941,0.0867662040764168,0.08605957243728983,-0.0007066316391269728,1.3313836660011977,1.3470151056560948,0.015631439654897106
SYN050,PAIRED_NULL,AB,B,144,0,0.0,0.0,0.1199234105424957,0.1199234105424957,0.0,7.317913822860038,7.317913822860038,0.0
SYN051,PAIRED_NULL,AB,B,154,10,0.06493506493506493,0.014074390651363629,0.13360354219752202,0.10350463714718197,-0.030098905050340047,4.810488323025292,3.9825680079267287,-0.8279203150985635
SYN052,PAIRED_NULL,AB,B,75,1,0.013333333333333334,0.00574685867501983,0.09927184257463886,0.08340950310704501,-0.015862339467593856,1.5718738673771735,1.1836292275745361,-0.38824463980263735
SYN053,PAIRED_NULL,AB,B,176,6,0.03409090909090909,0.01218612751204549,0.1540602079537447,0.1323460140654681,-0.02171419388827661,5.25979319306851,5.6448126852907325,0.38501949222222276
