candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_MD_A3-4_B1-2-5,T1,24,MD,Maryland,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-5,75,73,2,6690527.0,6645452.256364243,0.9932629008692803,45074.743635756895,1.510722789394359e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,69,0,0
T1_MA_A2-4_B1-3-5,T1,25,MA,Massachusetts,A,TI_POOLED_SELECTED_PANELS,2-4,10,10,0,5288557.5,5288557.5,1.0,0.0,0.0,PASS,PASS,10,0,0
T1_MA_A2-4_B1-3-5,T1,25,MA,Massachusetts,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4,20,20,0,5288557.5,5288557.5,1.0,0.0,1.6407215590267194e-16,PASS,PASS,19,0,0
T1_MA_A2-4_B1-3-5,T1,25,MA,Massachusetts,B,TI_POOLED_SELECTED_PANELS,1-3-5,10,10,0,5288557.5,5288557.5,1.0,0.0,0.0,PASS,PASS,10,0,0
T1_MA_A2-4_B1-3-5,T1,25,MA,Massachusetts,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3-5,30,29,1,5288557.5,5262318.328217143,0.9950385011824383,26239.171782856807,1.4023833365007434e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,28,0,0
T1_MI_A1-3_B2-4-5,T1,26,MI,Michigan,A,TI_POOLED_SELECTED_PANELS,1-3,57,57,0,37385029.9,37385029.9,1.0,0.0,1.563268653415148e-16,PASS,PASS,57,0,0
T1_MI_A1-3_B2-4-5,T1,26,MI,Michigan,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3,114,114,0,37385029.9,37385029.9,1.0,0.0,1.8972848605566284e-16,PASS,PASS,112,0,0
T1_MI_A1-3_B2-4-5,T1,26,MI,Michigan,B,TI_POOLED_SELECTED_PANELS,2-4-5,57,57,0,37385029.9,37385029.9,1.0,0.0,1.7757894657180867e-16,PASS,PASS,57,0,0
T1_MI_A1-3_B2-4-5,T1,26,MI,Michigan,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4-5,171,171,0,37385029.9,37385029.9,1.0,0.0,1.7757894657180867e-16,PASS,PASS,168,0,0
T1_MN_A2-3_B1-4-5,T1,27,MN,Minnesota,A,TI_POOLED_SELECTED_PANELS,2-3,57,57,0,54010347.699999996,54010347.699999996,1.0,0.0,1.5521078506978916e-16,PASS,PASS,57,0,0
T1_MN_A2-3_B1-4-5,T1,27,MN,Minnesota,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3,114,114,0,54010347.699999996,54010347.699999996,1.0,0.0,1.6117245077243063e-16,PASS,PASS,114,0,0
