observation_realization,AB_strong_gain_pp,AB_paired_null_gain_pp,AB_separation_pp,BA_strong_gain_pp,BA_paired_null_gain_pp,BA_separation_pp,pooled_strong_gain_pp,pooled_paired_null_gain_pp,pooled_separation_pp,BA_minus_AB_separation_pp,AB_STRONG_geometry_coverage,AB_PAIRED_NULL_geometry_coverage,BA_STRONG_geometry_coverage,BA_PAIRED_NULL_geometry_coverage,pooled_STRONG_geometry_coverage,pooled_PAIRED_NULL_geometry_coverage
100,-5.145860466634369,4.368582321812703,-9.691259073076285,-19.858153572436326,3.733885133407482,-23.96366459805111,-12.502007019535348,4.051233727610092,-16.827461835563696,-14.272405524974825,1.0,0.875,0.9375,0.875,0.96875,0.875
101,-13.779002662217737,3.3602334020923736,-17.04911547730836,-17.944877742745525,3.8739279804748374,-21.818805723220365,-15.86194020248163,3.6170806912836055,-19.433960600264363,-4.769690245912006,1.0,0.9375,0.9375,0.8125,0.96875,0.875
102,-11.542306269596207,4.167098448148434,-18.345074944418716,-24.937802022296676,4.029243638204418,-25.794085267634486,-18.24005414594644,4.098171043176427,-22.0695801060266,-7.44901032321577,1.0,0.8125,1.0,0.875,1.0,0.84375
103,-7.290606160426955,3.395503314981253,-12.14491148436831,-28.569433768265387,3.0510534037068457,-27.60210365016273,-17.930019964346172,3.2232783593440493,-19.87350756726552,-15.45719216579442,1.0,0.8125,0.9375,0.9375,0.96875,0.875
104,-6.576352520472094,4.315755631636956,-10.89210815210905,-25.246312891547362,3.540249881998497,-29.5760487234409,-15.911332706009727,3.928002756817727,-20.234078437774976,-18.68394057133185,1.0,0.875,0.9375,0.8125,0.96875,0.84375
105,-11.425912062222782,3.891993007418796,-15.317905069641577,-23.677063376407336,4.128840163448871,-27.949697327623905,-17.55148771931506,4.010416585433833,-21.633801198632742,-12.631792257982328,1.0,0.8125,0.9375,0.875,0.96875,0.84375
106,-12.565936141236616,4.512210710318259,-17.208249356269746,-20.911966055385676,3.4960051151418967,-24.593776287592515,-16.738951098311148,4.004107912730078,-20.901012821931133,-7.385526931322769,1.0,0.875,0.9375,0.875,0.96875,0.875
107,-3.9029255613374465,3.4158322061589996,-7.318757767496447,-16.042910720347894,2.465695153612269,-19.76774496295514,-9.97291814084267,2.9407636798856345,-13.543251365225792,-12.448987195458692,1.0,0.875,0.9375,0.9375,0.96875,0.90625
108,-9.038200203949305,3.5361644907794196,-11.03152981626616,-24.92881879609469,3.6851028309215237,-26.53106452890478,-16.983509500021995,3.6106336608504717,-18.781297172585468,-15.499534712638619,1.0,0.875,0.9375,0.875,0.96875,0.875
109,-7.669130032927056,3.721781627174284,-11.88330070639724,-20.94659308828345,3.569666997649997,-25.75478605047527,-14.307861560605254,3.6457243124121406,-18.819043378436255,-13.871485344078032,1.0,0.875,0.9375,0.875,0.96875,0.875
110,-6.122661555365064,4.469649894087488,-10.592311449452552,-16.859424554299668,3.626642921267117,-22.36216852325943,-11.491043054832366,4.048146407677303,-16.47723998635599,-11.769857073806879,1.0,0.875,0.9375,0.9375,0.96875,0.90625
111,-8.871479215111444,4.444422346428788,-10.130792601530276,-27.563165609140217,3.9920908755031017,-32.17300029864218,-18.21732241212583,4.218256610965945,-21.151896450086227,-22.042207697111905,1.0,0.875,0.9375,0.8125,0.96875,0.84375
