synthetic_species_id,world,orientation,target_fold,D3_support_cells,legal_target_fold_plots_in_support,plots_per_occupied_cell,target_fold_TI_sum_in_support,kish_effective_plot_information,mean_expected_total_tree_count,latent_concentration_D3,two_panel_plot_fraction,three_panel_plot_fraction,dominant_panel_role,E1_hellinger,E4_hellinger,E0_test_appearance_count,E5_test_appearance_count,individual_gain_missing_semantics,E0_individual_gain_pp_mean_over_test_appearances,E5_individual_gain_pp_mean_over_MC_and_test_appearances,E5_minus_E0_individual_gain_pp
SYN027,STRONG,AB,B,147,4985,33.91156462585034,51017532.808322534,4308.627505327084,1622.9100341796875,0.0222063331077504,0.0,1.0,3_PANEL,0.11162553966556842,0.007057774997323899,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,7.55261378701306,-31.68657360551958,-39.23918739253264
SYN027,STRONG,BA,A,147,3278,22.299319727891156,50972686.94990009,2814.5062289307966,1055.4599609375,0.0222063331077504,1.0,0.0,2_PANEL,0.14832392925054133,0.008512553813614784,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,7.55261378701306,-58.28170050883433,-65.83431429584739
SYN027,PAIRED_NULL,AB,B,147,4985,33.91156462585034,51017532.808322534,4308.627505327084,1609.1199951171875,0.0222063331077504,0.0,1.0,3_PANEL,0.1276802794728331,0.008269336336744313,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.09108573938923273,-3.8762385677540707,-3.785152828364838
SYN027,PAIRED_NULL,BA,A,147,3278,22.299319727891156,50972686.94990009,2814.5062289307966,1005.594970703125,0.0222063331077504,1.0,0.0,2_PANEL,0.14929149762005997,0.010083789587506437,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.09108573938923273,-2.8579954693916205,-2.766909730002388
SYN028,STRONG,AB,B,168,4644,27.642857142857142,34949159.918186344,3126.0556657778916,2228.47509765625,0.02106060770038083,0.0,1.0,3_PANEL,0.1313505971391347,0.008252754603389506,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-3.13472290690416,-17.11713772265435,-13.98241481575019
SYN028,STRONG,BA,A,168,3062,18.226190476190474,34435855.52632581,2083.786423516907,1469.4749755859375,0.02106060770038083,1.0,0.0,2_PANEL,0.14200228225912542,0.010011916169696662,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-3.13472290690416,-29.37723631281726,-26.2425134059131
SYN028,PAIRED_NULL,AB,B,168,4644,27.642857142857142,34949159.918186344,3126.0556657778916,2086.2548828125,0.020991759553038405,0.0,1.0,3_PANEL,0.12436054369449863,0.007901565282323572,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.74938672900555,3.639758803507949,4.389145532513499
SYN028,PAIRED_NULL,BA,A,168,3062,18.226190476190474,34435855.52632581,2083.786423516907,1357.85498046875,0.020991759553038405,1.0,0.0,2_PANEL,0.15307370291184733,0.010083287171499764,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.74938672900555,2.041139465633988,2.790526194639538
SYN029,STRONG,AB,B,121,2546,21.041322314049587,27182238.411277205,2139.775057013985,1651.8199462890625,0.04501024761542701,0.0,1.0,3_PANEL,0.1364389953673425,0.007690098471724037,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,12.37924028320662,24.98907250616019,12.609832222953571
SYN029,STRONG,BA,A,121,1682,13.900826446280991,27061145.307493407,1324.9611000097616,1109.2900390625,0.04501024761542701,1.0,0.0,2_PANEL,0.13861080489862188,0.009134319740594438,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,12.37924028320662,31.78639944906709,19.40715916586047
