state,synthetic_species_id,world,orientation,support_cells_D3,cell_mass_correlation,allocation_bias,relative_bias,allocation_rmse,relative_rmse,entropy_bias,concentration_bias,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
E1,SYN017,PAIRED_NULL,BA,168,0.9755724986578796,-2.271661694731533e-19,-3.816391647148976e-17,0.002395525618266969,0.40244830386885083,-0.09566723182985104,0.0011406028762461912,0.1503685999012773,5.5108111889769065,6.58365483004822,4.143431467017391,4.04776423518754,0.024780601207551076,0.025921204083797268
E1,SYN018,STRONG,AB,64,0.9964095771199215,3.198396408832238e-18,2.0469737016526329e-16,0.002918773191899079,0.18680148428154109,-0.042895325591547184,0.004682012978884681,0.07236109101453755,1.6527354965624201,1.8178214002611586,3.024935853369241,2.982040527777694,0.07733633426785841,0.08201834724674309
E1,SYN018,STRONG,BA,64,0.9956404364544801,3.848917712323541e-18,2.4633073358870666e-16,0.00300135619057149,0.19208679619657543,-0.05100815278837256,0.0026165848137714165,0.09889966073149668,1.4772211212181625,2.031193192368937,3.024935853369241,2.9739277005808686,0.07733633426785841,0.07995291908162983
E1,SYN018,PAIRED_NULL,AB,64,0.9975012126456695,-1.6059744679941534e-18,-1.0278236595162582e-16,0.0024408337869145642,0.1562133623625321,-0.03942654572727822,0.0038903668378025696,0.07776337764269405,1.5776189429520355,0.20634179494078336,3.0060431525768028,2.9666166068495246,0.07828197459900867,0.08217234143681124
E1,SYN018,PAIRED_NULL,BA,64,0.9969511699683106,-1.531435568635775e-18,-9.80118763926896e-17,0.002450791775777278,0.15685067364974578,-0.021350742399217637,0.00047574994608955146,0.08109888152316497,2.638780706007171,3.985942362310485,3.0060431525768028,2.984692410177585,0.07828197459900867,0.07875772454509822
E1,SYN019,STRONG,AB,69,0.9856963709074503,7.228014483236697e-19,4.9873299934333204e-17,0.0036629070473554676,0.25274058626752727,0.023676527590815954,-0.0005908489619792581,0.09078938223659501,3.477624894992299,6.021673821265783,3.3861228874634746,3.4097994150542905,0.04705618467749615,0.04646533571551689
E1,SYN019,STRONG,BA,69,0.9781008393203341,1.976704830415601e-18,1.3639263329867646e-16,0.004571496316771316,0.3154332458572208,-0.03579332024898241,0.0005987042205529286,0.10230191289203946,4.1625535456689295,6.478190594069861,3.3861228874634746,3.350329567214492,0.04705618467749615,0.04765488889804908
E1,SYN019,PAIRED_NULL,AB,69,0.9945245808233197,1.0417768700838976e-18,7.188260403578893e-17,0.002394747144083668,0.1652375529417731,-0.038696117192460466,0.0009691655501981103,0.08595619758472345,2.5051563891111304,2.4331222608513596,3.350836283685155,3.3121401664926946,0.04954241363861887,0.05051157918881698
E1,SYN019,PAIRED_NULL,BA,69,0.9892588008571843,-1.5901631863120731e-18,-1.0972125985553305e-16,0.003301291256373088,0.2277890966897431,-0.02162562365645737,-9.456993956123011e-05,0.1075184075302471,2.0621700735450443,0.437157267007538,3.350836283685155,3.3292106600286977,0.04954241363861887,0.049447843699057636
E1,SYN020,STRONG,AB,75,0.9930842439582713,1.1918995882857313e-18,8.939246912142984e-17,0.0038915452295616975,0.2918658922171273,-0.025771648754934873,-0.0007905376376396434,0.11135180995908149,3.4116387198725886,3.73916888148596,2.9183381687630843,2.8925665200081494,0.09570927779177277,0.09491874015413312
