K,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
4,AB,PAIRED_NULL_geometry_coverage_crosscheck,50,0.87375,0.008838834764831844,0.00125,0.875,0.875,0.875,0.8125,0.875
4,BA,strong_gain_pp,50,0.9617305319770486,0.8894122925192305,0.12578189266220421,-0.6326178332788124,1.0367917975129823,2.2938850585187764,-1.4986123528741913,2.3242402245850493
4,BA,paired_null_gain_pp,50,4.114862956002629,0.4198918644934057,0.05938167694967002,3.3574809165108737,4.156221980252611,4.735819414065119,3.082655695164467,4.857719762646859
4,BA,separation_pp,50,-3.073609187150167,0.9093710482692617,0.12860448696918284,-4.701158961381255,-3.064030124879938,-1.8339161486547306,-5.690060116125314,-1.3268610505923353
4,BA,BA_minus_AB_separation_pp,50,-2.7830524323574988,1.361164491310531,0.19249772842320276,-4.800849051545585,-2.8372575223643386,-0.8286476418379268,-5.835525691250194,0.19682591873267619
4,BA,STRONG_hellinger_median,50,0.06681069880413969,0.001100774506764105,0.00015567302365803514,0.06502003111714592,0.06675165767434468,0.06837968030276163,0.06341158031981503,0.06877264591138402
4,BA,PAIRED_NULL_hellinger_median,50,0.06858440100771121,0.0011063186354139524,0.00015645708185085068,0.06674151503876963,0.06853672151620696,0.0704457950645723,0.06646187292555197,0.07088623979821546
4,BA,STRONG_sliced_wasserstein_km_median,50,1.848373356374507,0.1002699728330851,0.014180315547933073,1.7084312517177147,1.8360178976541155,2.0384611513642534,1.6221833013787932,2.095654087446338
4,BA,PAIRED_NULL_sliced_wasserstein_km_median,50,2.2479607146245133,0.10654561702890383,0.015067825661368559,2.0912968578482296,2.2459479469232426,2.4489739613577823,2.001633086030783,2.479399433447675
4,BA,STRONG_geometry_coverage_crosscheck,50,0.9675,0.03154200309402802,0.0044607128559988555,0.9375,0.9375,1.0,0.9375,1.0
4,BA,PAIRED_NULL_geometry_coverage_crosscheck,50,0.86875,0.01894036021035395,0.002678571428571428,0.8125,0.875,0.875,0.8125,0.875
8,AB,strong_gain_pp,25,7.741680630070225,0.37003803437253496,0.074007606874507,6.831422673273735,7.839910076495956,8.006532744061081,6.551741436016124,8.107518829758945
8,AB,paired_null_gain_pp,25,2.4405465452255477,0.4107166372856838,0.08214332745713676,1.9383989302662419,2.435093783788891,3.0298463247546525,1.729912845671052,3.250588274916622
8,AB,separation_pp,25,5.080753610257404,0.7459848544854928,0.14919697089709855,3.6321479560583967,5.217741534512069,5.974892748173193,3.2909371246183388,6.141106642079103
8,AB,BA_minus_AB_separation_pp,25,-3.1316035113845415,1.0815080881323738,0.21630161762647476,-4.867874508178451,-3.2116408380252204,-1.6586867808690433,-5.267478925934597,-1.2056652602296674
8,AB,STRONG_hellinger_median,25,0.03654263831728632,0.0006478290704264316,0.00012956581408528632,0.03549579112677246,0.036609684483065424,0.03746512964655828,0.03528555871358704,0.037659184452360966
8,AB,PAIRED_NULL_hellinger_median,25,0.03714339266772822,0.0006278536724436673,0.00012557073448873346,0.036027121090732785,0.03730036812033598,0.03817142523421514,0.03578640333107484,0.038400382247194303
8,AB,STRONG_sliced_wasserstein_km_median,25,1.0501021503476184,0.05465456128906789,0.010930912257813579,0.9864512591746791,1.0493328300476825,1.141613254805236,0.9647108628843315,1.183975872160238
8,AB,PAIRED_NULL_sliced_wasserstein_km_median,25,1.2556867887677856,0.07462341555591881,0.014924683111183761,1.1568711735688018,1.2656540967434662,1.3845947781555932,1.1505177401916076,1.4012639117027723
8,AB,STRONG_geometry_coverage_crosscheck,25,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
8,AB,PAIRED_NULL_geometry_coverage_crosscheck,25,0.875,0.0,0.0,0.875,0.875,0.875,0.875,0.875
8,BA,strong_gain_pp,25,5.752566639145431,1.077169369904155,0.21543387398083097,3.9984281888994624,5.855450776704226,6.915210355086697,2.330479816693236,7.318453896028056
