scope,predictor,outcome,statistic,value,n,threshold_applied
BA,plots_per_occupied_cell,E4_hellinger,spearman_rho,-0.2718788441291702,144,NO
BA,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,pearson_r,0.058415234662409776,98,NO
BA,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,spearman_rho,0.036346362140853884,98,NO
BA,target_fold_TI_sum_in_support,E1_hellinger,pearson_r,0.35226811530148916,144,NO
BA,target_fold_TI_sum_in_support,E1_hellinger,spearman_rho,0.3040811576996703,144,NO
BA,target_fold_TI_sum_in_support,E4_hellinger,pearson_r,0.42683178970211977,144,NO
BA,target_fold_TI_sum_in_support,E4_hellinger,spearman_rho,0.3858087967589002,144,NO
BA,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,pearson_r,0.030868750247954112,98,NO
BA,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,spearman_rho,0.03402529620764848,98,NO
BA,kish_effective_plot_information,E1_hellinger,pearson_r,0.16858195971832,144,NO
BA,kish_effective_plot_information,E1_hellinger,spearman_rho,0.14233808447150426,144,NO
BA,kish_effective_plot_information,E4_hellinger,pearson_r,0.2403306708459391,144,NO
BA,kish_effective_plot_information,E4_hellinger,spearman_rho,0.22162201326477507,144,NO
BA,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,pearson_r,0.0652172748771251,98,NO
BA,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,spearman_rho,0.03241840440773705,98,NO
BA,mean_expected_total_tree_count,E1_hellinger,pearson_r,-0.33154780651711324,144,NO
BA,mean_expected_total_tree_count,E1_hellinger,spearman_rho,-0.33107869142351903,144,NO
BA,mean_expected_total_tree_count,E4_hellinger,pearson_r,-0.31802617323513827,144,NO
BA,mean_expected_total_tree_count,E4_hellinger,spearman_rho,-0.27559681697612737,144,NO
BA,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,pearson_r,0.08550152310275355,98,NO
BA,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,spearman_rho,0.11415437777735273,98,NO
