K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,31,31,31,AB,-7.340884516496391,3.938375915975623,-11.279260432472014,1.0,0.875,0.10901275436907594,0.11050409913201312,2.925465219411881,3.9217808829733047,1.0,0.875,-13.106233908499838
1,31,31,31,BA,-20.312500048441915,3.6009783887178295,-24.385494340971853,0.9375,0.875,0.13376395091634427,0.1364110433569104,3.7808048756746864,4.488515396427173,0.9375,0.875,-13.106233908499838
1,32,32,32,AB,-12.337084055693822,3.6338435230054627,-14.988278766671229,1.0,0.875,0.11129552789241579,0.11190149799387242,2.9672225425835164,3.7269186311199203,1.0,0.875,-12.092782685644025
1,32,32,32,BA,-24.57307954283948,2.5079819094757725,-27.081061452315254,1.0,0.875,0.13547298617800874,0.135778773321099,3.5872941844800144,4.522125366840241,1.0,0.875,-12.092782685644025
1,33,33,33,AB,-11.94340876463407,3.0702632276037707,-14.398547144837742,1.0,0.875,0.11029807104022331,0.11301651229661164,3.024735178680209,3.578185181025445,1.0,0.875,-13.318599138005055
1,33,33,33,BA,-24.69891866877758,4.301972977370539,-27.717146282842798,1.0,0.875,0.13381558643671024,0.13301785053384665,3.51545861194258,4.421113058539902,1.0,0.875,-13.318599138005055
1,34,34,34,AB,-1.9222533646134385,4.056639240614976,-6.637799293341918,1.0,0.8125,0.10748620081664344,0.1126574180261363,3.0359993011019086,3.7803003778335453,1.0,0.8125,-19.556538065906345
1,34,34,34,BA,-24.183398524633127,3.8923340580929433,-26.194337359248262,1.0,0.875,0.13221378657203234,0.13322507237607048,3.669519622550477,4.0174036387570204,1.0,0.875,-19.556538065906345
1,35,35,35,AB,-10.499603873431765,4.06554840338299,-14.65713500988223,1.0,0.8125,0.10654768859149681,0.11055535255644544,3.0402494291268525,3.222045172331427,1.0,0.8125,-6.7951781937401545
1,35,35,35,BA,-18.14467596800239,3.307637235619996,-21.452313203622385,0.9375,0.8125,0.13208414736634266,0.1385047091172396,3.8868011495160415,4.244920230267626,0.9375,0.8125,-6.7951781937401545
1,36,36,36,AB,-5.939941943081676,4.3158669913678995,-10.255808934449576,1.0,0.875,0.10775757082935425,0.11487254115926461,2.6550837795216213,3.6010713741125797,1.0,0.875,-16.80050624604248
1,36,36,36,BA,-22.25202373341501,4.623309954708333,-27.056315180492057,0.9375,0.875,0.1321405381892521,0.13966307613299217,3.865466225419683,4.486735462034453,0.9375,0.875,-16.80050624604248
1,37,37,37,AB,-12.372762183418905,4.115882684404806,-14.99571249738774,1.0,0.875,0.1051351222262168,0.11255049791252947,3.0974275320970817,3.6617434168470147,1.0,0.875,-8.410528947882682
1,37,37,37,BA,-18.628698558794234,3.5066104712161987,-23.40624144527042,0.9375,0.875,0.12934536193497054,0.13756221541899188,3.5835200876702342,4.577319190810103,0.9375,0.875,-8.410528947882682
1,38,38,38,AB,-4.978171155078248,3.0608502791669054,-8.039021434245154,1.0,0.875,0.10761096690308189,0.11624984468995503,3.1646307353429037,3.6343318302404315,1.0,0.875,-16.405096055838833
1,38,38,38,BA,-24.50992586720715,2.6530464854858717,-24.444117490083986,0.9375,0.875,0.13647523285616847,0.1386537717401422,3.647939349339117,4.611898268911765,0.9375,0.875,-16.405096055838833
1,39,39,39,AB,-9.90626594165682,4.465919108140454,-14.531731009382698,1.0,0.875,0.10922815387641083,0.10919408936895911,3.189447739333735,3.9210449324749828,1.0,0.875,-14.178195062122205
1,39,39,39,BA,-24.537088257099096,3.8880809030212564,-28.709926071504903,0.9375,0.875,0.1337194044710255,0.14011850991603214,3.7467889499249707,4.428319073936988,0.9375,0.875,-14.178195062122205
1,40,40,40,AB,-15.31257221683742,4.098259276525147,-19.41083149336257,1.0,0.875,0.11216768777203892,0.11397089137229413,3.193360167442636,4.151438052511308,1.0,0.875,-11.83081541438548
1,40,40,40,BA,-32.5353339536766,3.7272848325168266,-31.24164690774805,0.9375,0.875,0.13740964282055834,0.13697960236685155,3.6462014657955115,4.511744979814329,0.9375,0.875,-11.83081541438548
1,41,41,41,AB,-4.36963981622587,5.012324947781226,-9.381964764007098,1.0,0.875,0.10750249127415495,0.1090810322787962,3.0115580826324475,3.4283781478528175,1.0,0.875,-14.447953255296042
1,41,41,41,BA,-21.085942464934572,2.7439755543685664,-23.82991801930314,0.9375,0.875,0.13627285276041556,0.13586018604162547,3.739722312852754,4.454706944857486,0.9375,0.875,-14.447953255296042
1,42,42,42,AB,-12.830642732100177,4.735761008809366,-18.832864508905296,1.0,0.875,0.10755850807137166,0.11187109050529637,2.8980285418909664,3.5559111985268714,1.0,0.875,-2.338751804899619
1,42,42,42,BA,-18.196042290461826,2.9755740233430887,-21.171616313804915,0.9375,0.875,0.13280694388377068,0.13924591587901114,3.360487624348559,4.47549211898248,0.9375,0.875,-2.338751804899619
1,43,43,43,AB,-12.056175465753244,3.966366933708301,-14.25952555188163,1.0,0.875,0.11169283860941889,0.11184033673524904,2.8714510790643537,3.9365723902196956,1.0,0.875,-4.59420373302687
1,43,43,43,BA,-15.135007584692344,3.545013736512535,-18.8537292849085,0.9375,0.875,0.13833614613603323,0.13572237910666593,3.7881271746105005,4.430220347147386,0.9375,0.875,-4.59420373302687
1,44,44,44,AB,-12.955267832751435,3.572560990388455,-16.52782882313989,1.0,0.875,0.1083370514349189,0.11215189907048731,2.8972534743926874,3.6844810127012866,1.0,0.875,-4.6511410284196835
