layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,PAIRED_NULL,O1,BA,3,9042103,72,28,28,16,0.2,-15.843648719893459,1.5581118932323674,-0.35828817489646747,0.75,0.875,0.9375,1.0,305.469129982279,300.7095791378717,92.22175655048244,106.83304770165621,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,BA,4,9042104,72,28,28,16,0.2,8.701793695193082,-25.93160046181847,9.530432725071291,1.0,0.9375,0.875,0.875,258.4654767940463,325.4897115680125,99.69952964046581,91.0238822560746,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,BA,5,9042105,72,28,28,16,0.2,-7.6062622441756975,-17.101547566584298,0.25678359709520276,0.8125,0.875,0.875,0.875,258.4654767940463,302.66707325117903,96.81779447520286,104.18200982201384,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,AB,1,9042101,72,28,28,16,0.2,-4.28268961125594,27.986415006471855,1.6484385065553693,0.6875,0.75,1.0,1.0,401.84770872394273,289.3849412664619,105.13507792838675,109.6376869886116,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,AB,2,9042102,72,28,28,16,0.2,-16.83332360161919,-50.557847855412604,-15.928629579472663,0.75,0.875,0.6875,0.8125,267.7894472887008,403.17802862177246,130.4723465161067,152.43517881578887,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,AB,3,9042103,72,28,28,16,0.2,-11.411481149316383,-34.86192627464701,-0.8146474084285042,1.0,1.0,0.9375,1.0,401.84770872394273,541.9395606756419,107.51910385263398,119.7886261206912,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,AB,4,9042104,72,28,28,16,0.2,1.1806676850067577,-35.38681831052357,3.3319776029606745,0.875,0.9375,0.8125,0.875,312.05809045653996,422.48551994968506,130.3177765969549,128.77915672085535,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,AB,5,9042105,72,28,28,16,0.2,-3.685489272499668,-32.511260743634615,0.9565996303811686,0.875,1.0,0.9375,1.0,332.3096963720955,440.347768236008,120.42831407568622,124.86668667199784,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,BA,1,9042101,72,28,28,16,0.0,-5.886387427634303,1.46561510128573,-0.9954786430039632,0.875,0.9375,1.0,1.0,393.0553052213541,387.2946273116252,107.18922717989057,113.49880037238601,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O2,BA,2,9042102,72,28,28,16,0.2,-13.14589899776331,-28.545468874899115,-8.492751805860898,0.8125,0.9375,0.6875,0.875,297.91366205909964,382.95451373625207,126.45206264349756,143.07532307920013,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
