state_fips,state_abbr,candidate_id,fold,selected_panels,effective_design_block_count,panel_by_effective_block_count,empty_panel_block_count,sparse_panel_block_count_n_lt_2,ma_fold_feasibility,ma_role,ma_used_to_select_primary_design,reason,ma_state_feasibility
41,OR,T2_OR_A4-5_B1-2-3,B,1-2-3,122,366,7,31,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
42,PA,T2_PA_A1-4_B2-3-5,A,1-4,61,122,4,13,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
42,PA,T2_PA_A1-4_B2-3-5,B,2-3-5,61,183,10,24,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
44,RI,T2_RI_A4-5_B1-2-3,A,4-5,8,16,1,1,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
44,RI,T2_RI_A4-5_B1-2-3,B,1-2-3,8,24,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
45,SC,T2_SC_A2-5_B1-3-4,A,2-5,13,26,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
45,SC,T2_SC_A2-5_B1-3-4,B,1-3-4,13,39,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
46,SD,T2_SD_A2-4_B1-3-5,A,2-4,18,36,1,2,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
46,SD,T2_SD_A2-4_B1-3-5,B,1-3-5,18,54,1,4,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
47,TN,T2_TN_A1-2_B3-4-5,A,1-2,21,42,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
47,TN,T2_TN_A1-2_B3-4-5,B,3-4-5,21,63,1,1,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
48,TX,T2_TX_A2-5_B1-3-4,A,2-5,34,68,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
48,TX,T2_TX_A2-5_B1-3-4,B,1-3-4,34,102,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
49,UT,T2_UT_A1-4_B2-3-5,A,1-4,135,270,3,13,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
49,UT,T2_UT_A1-4_B2-3-5,B,2-3-5,135,405,5,20,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
51,VA,T2_VA_A2-5_B1-3-4,A,2-5,26,52,2,6,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
51,VA,T2_VA_A2-5_B1-3-4,B,1-3-4,26,78,3,6,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
50,VT,T2_VT_A2-4_B1-3-5,A,2-4,17,34,2,3,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
50,VT,T2_VT_A2-4_B1-3-5,B,1-3-5,17,51,1,3,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
53,WA,T2_WA_A1-3_B2-4-5,A,1-3,73,146,1,13,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
53,WA,T2_WA_A1-3_B2-4-5,B,2-4-5,73,219,2,14,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
55,WI,T2_WI_A1-2_B3-4-5,A,1-2,62,124,2,4,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
55,WI,T2_WI_A1-2_B3-4-5,B,3-4-5,62,186,0,4,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
56,WY,T2_WY_A1-3_B2-4-5,A,1-3,97,194,1,17,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
56,WY,T2_WY_A1-3_B2-4-5,B,2-4-5,97,291,6,19,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
54,WV,T2_WV_A3-5_B1-2-4,A,3-5,26,52,1,4,UNAVAILABLE,SENSITIVITY_FEASIBILITY_ONLY,NO,Mechanical top candidate has an estimation-unit-level unsampled fold; primary design is blocked.,UNAVAILABLE
54,WV,T2_WV_A3-5_B1-2-4,B,1-2-4,26,78,5,7,UNAVAILABLE,SENSITIVITY_FEASIBILITY_ONLY,NO,Mechanical top candidate has an estimation-unit-level unsampled fold; primary design is blocked.,UNAVAILABLE
