target_id,variable,relation_class,target_value_count,pool_value_count,shared_value_count,target_values,pool_values,route,statecd,source_eu,pool_df,target_df,reference_strength,domain_overlap,parent_generic_abs_log_ratio,domain_cov_relative_frobenius,domain_cov_transport_to_noise,generic_joint_relative_frobenius,generic_joint_transport_to_noise,group_size_ratio_pool_to_target,interpretation_boundary
P::12::122301::A::1970863134290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,3,493,281,R5,0.8247969572180279,0.9911559319842431,0.3558899500900099,0.701489966463748,2.9656925844136173,3.120900003847253,1.7588652482269505,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863134290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,3,493,281,R5,0.8247969572180279,0.9911559319842431,0.3558899500900099,0.701489966463748,2.9656925844136173,3.120900003847253,1.7588652482269505,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863135290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,3,670,104,R5,0.4746196844265195,nan,0.9011935437044765,1.4987867784896791,inf,nan,6.40952380952381,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863135290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,3,670,104,R5,0.4746196844265195,nan,0.9011935437044765,1.4987867784896791,inf,nan,6.40952380952381,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863135290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,3,670,104,R5,0.4746196844265195,nan,0.9011935437044765,1.4987867784896791,inf,nan,6.40952380952381,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863135290487,MEASYEAR,PARTIAL_OVERLAP,3,5,3,2019|2020|2021,2019|2020|2021|2022|2023,LEVEL1,12,3,670,104,R5,0.4746196844265195,nan,0.9011935437044765,1.4987867784896791,inf,nan,6.40952380952381,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863136290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,3,586,188,R5,0.7755140539520845,2.6542664443100956,0.4797675049666187,0.9042588733176604,0.962281700950321,0.9958356271719572,3.1164021164021163,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863136290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,3,586,188,R5,0.7755140539520845,2.6542664443100956,0.4797675049666187,0.9042588733176604,0.962281700950321,0.9958356271719572,3.1164021164021163,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863136290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,3,586,188,R5,0.7755140539520845,2.6542664443100956,0.4797675049666187,0.9042588733176604,0.962281700950321,0.9958356271719572,3.1164021164021163,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863136290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,3,586,188,R5,0.7755140539520845,2.6542664443100956,0.4797675049666187,0.9042588733176604,0.962281700950321,0.9958356271719572,3.1164021164021163,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863137290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,4,491,171,R5,0.6032473913246923,4.887322171418196,0.7141240462061463,1.290525481835294,96.98110875288674,57.09304959405618,2.88953488372093,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863137290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,4,491,171,R5,0.6032473913246923,4.887322171418196,0.7141240462061463,1.290525481835294,96.98110875288674,57.09304959405618,2.88953488372093,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
