analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
380022,Pinus strobus,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,451,481,449,477,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380126,Pinus sylvestris,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,104,118,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380129,Pinus taeda,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,504,499,495,490,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380091,Pinus virginiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,219,223,219,222,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2551587,Planera aquatica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,72,67,72,67,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2570459,Platanus occidentalis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,516,510,516,510,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2921945,Populus angustifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,28,15,28,15,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917292,Populus balsamifera,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,127,124,127,124,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917212,Populus deltoides,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,322,312,322,312,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917269,Populus fremontii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,14,11,13,11,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917577,Populus grandidentata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,338,343,338,343,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917451,Populus tremuloides,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,584,579,583,579,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917437,Populus tristis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,69,68,69,68,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2958765,Prunus americana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,18,26,16,24,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2917143,Prunus avium,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,51,59,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2959716,Prunus emarginata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,44,43,44,43,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2961130,Prunus pensylvanica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,113,117,113,117,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2915966,Prunus serotina,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,1106,1097,1106,1097,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2962364,Prunus virginiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,29,28,29,28,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379633,Pseudotsuga menziesii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,493,504,487,500,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2963049,Pyrus calleryana,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,40,38,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
171430,Quercus acutissima,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,11,10,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
171483,Quercus agrifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,29,29,29,29,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
171499,Quercus alba,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,888,894,888,894,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
171655,Quercus arizonica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,47,42,47,42,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
