fia_species_code,fia_name_raw,analysis_species_id,analysis_species_name,analysis_species_authors,mapping_class,diameter_measurement_basis,pooling_group_component_code_count,pooling_group_component_codes,pooling_applied_flag,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,confirmed_native_state_tree_rows,explicit_introduced_state_tree_rows,unclassified_state_tree_rows,component_positive_primary_plots,pooled_species_positive_primary_plots,sum_component_positive_plots_before_dedup,plot_overlap_removed_by_species_pooling,aggregation_rule
111,Pinus elliottii,379943,Pinus elliottii,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,111,0,35258,17795,17463,34805,0,453,2838,2838,2838,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
112,Pinus engelmannii,379946,Pinus engelmannii,Carrière,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,112,0,3,0,3,3,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
113,Pinus flexilis,379971,Pinus flexilis,E.James,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,113,0,2517,1187,1330,2517,0,0,582,582,582,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
114,Pinus strobiformis,380012,Pinus strobiformis,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,114,0,276,121,155,0,0,276,91,91,91,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
115,Pinus glabra,379966,Pinus glabra,Walter,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,115,0,714,428,286,714,0,0,299,299,299,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
116,Pinus jeffreyi,379708,Pinus jeffreyi,Balf.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,116,0,3540,1636,1904,3540,0,0,450,450,450,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
117,Pinus lambertiana,379703,Pinus lambertiana,Douglas,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,117,0,2214,1209,1005,2214,0,0,720,720,720,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
118,Pinus leiophylla,379770,Pinus leiophylla,Schiede ex Schltdl. & Cham.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,118,0,12,2,10,12,0,0,8,8,8,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
119,Pinus monticola,380255,Pinus monticola,Douglas ex D.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,119,0,1810,990,820,1810,0,0,623,623,623,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
120,Pinus muricata,380239,Pinus muricata,D.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,120,0,86,41,45,86,0,0,6,6,6,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
