analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,component_fia_code_count,component_fia_codes,component_fia_names,diameter_basis_composition,confirmed_native_CONUS,core_eligibility_status,grain_km,census_view,fold_scope,n_unique_physical_plot_lineages,n_primary_measurements,n_sampled_cells,n_positive_plots,n_detected_cells,n_qualifying_tree_rows,n_dbh_tree_rows,n_drc_tree_rows,n_unclassified_diameter_basis_tree_rows,n_confirmed_native_state_tree_rows,n_explicit_introduced_state_tree_rows,n_no_confirmed_native_or_introduced_state_tree_rows,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,sampling_frame_note,threshold_role
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,ALL,24244,24244,2794,1802,437,17815,17815,0,0,17815,0,0,57,0.4919908466819222,2210.344995696373,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,A,12134,12134,2502,924,334,8981,8981,0,0,8981,0,0,61,0.5239520958083832,2192.316126839375,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,B,12110,12110,2479,878,344,8834,8834,0,0,8834,0,0,68,0.4563953488372093,2210.344995696373,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,ALL,24244,24244,899,1802,209,17815,17815,0,0,17815,0,0,20,0.45454545454545453,2193.171219946131,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,A,12134,12134,845,924,169,8981,8981,0,0,8981,0,0,18,0.5266272189349113,2156.9654610122993,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,WCVP_CONFIRMED_NATIVE_STATE,B,12110,12110,841,878,181,8834,8834,0,0,8834,0,0,21,0.4696132596685083,2193.171219946131,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,ALL,24244,24244,458,1802,130,17815,17815,0,0,17815,0,0,11,0.4230769230769231,2229.910312097776,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,A,12134,12134,442,924,104,8981,8981,0,0,8981,0,0,11,0.4807692307692308,2175.0,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,B,12110,12110,439,878,115,8834,8834,0,0,8834,0,0,10,0.4434782608695652,2229.910312097776,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381792,Abies fraseri,(Pursh) Poir.,Species,1,16,Abies fraseri,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,ALL,115725,115725,10051,11,10,95,95,0,0,86,0,9,6,0.4,1782.0283387196735,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381792,Abies fraseri,(Pursh) Poir.,Species,1,16,Abies fraseri,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,A,57920,57920,9235,7,6,73,73,0,0,67,0,6,5,0.3333333333333333,1312.4404748406687,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381792,Abies fraseri,(Pursh) Poir.,Species,1,16,Abies fraseri,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,B,57805,57805,9171,4,4,22,22,0,0,19,0,3,3,0.5,1754.458605952275,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
