analysis_species_id,analysis_species_name,fia_state_code,fia_state_ab,fia_state_name,wcvp_area_code_l3,wcvp_area_name,state_identity_mapping_type,wcvp_level3_rows,confirmed_current_native_rows,explicit_introduced_rows,native_historical_extinct_rows,native_location_doubtful_rows,state_evidence_class,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,positive_primary_plots,positive_primary_plots_fold_A,positive_primary_plots_fold_B,confirmed_native_CONUS,core_eligibility_status,status_inference_from_alias
381632,Abies amabilis,49,UT,Utah,UTA,Utah,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,50,VT,Vermont,VER,Vermont,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,51,VA,Virginia,VRG,Virginia,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,53,WA,Washington,WAS,Washington,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,10120,5114,5006,717,371,346,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,54,WV,West Virginia,WVA,West Virginia,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,55,WI,Wisconsin,WIS,Wisconsin,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,56,WY,Wyoming,WYO,Wyoming,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,1,AL,Alabama,ALA,Alabama,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,4,AZ,Arizona,ARI,Arizona,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,5,AR,Arkansas,ARK,Arkansas,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,6,CA,California,CAL,California,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,8,CO,Colorado,COL,Colorado,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,9,CT,Connecticut,CNT,Connecticut,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,1,0,1,1,0,1,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,10,DE,Delaware,DEL,Delaware,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,12,FL,Florida,FLA,Florida,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,13,GA,Georgia,GEO,Georgia,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,16,ID,Idaho,IDA,Idaho,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,17,IL,Illinois,ILL,Illinois,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,18,IN,Indiana,INI,Indiana,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,19,IA,Iowa,IOW,Iowa,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,20,KS,Kansas,KAN,Kansas,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,21,KY,Kentucky,KTY,Kentucky,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,22,LA,Louisiana,LOU,Louisiana,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,23,ME,Maine,MAI,Maine,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,20890,10801,10089,2014,1017,997,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,24,MD,Maryland,MRY,Maryland,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,25,MA,Massachusetts,MAS,Massachusetts,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,21,7,14,8,1,7,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,26,MI,Michigan,MIC,Michigan,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,6205,2993,3212,1218,606,612,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,27,MN,Minnesota,MIN,Minnesota,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,9955,5065,4890,1798,926,872,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,28,MS,Mississippi,MSI,Mississippi,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,29,MO,Missouri,MSO,Missouri,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,30,MT,Montana,MNT,Montana,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381647,Abies balsamea,31,NE,Nebraska,NEB,Nebraska,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
