"source_local_path","source_file_role","staged_local_path","relative_path","size_bytes","sha256","copy_status","original_relay_policy","original_notes"
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","585","3762df9e623dfd75dd351a6b0d92bb9807319501d51c27c6a0dad2c47649926a","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","575","6afe8a62db2b9476176e400cce2708ef8cb08323ff466e460bfd7c92c27ae48e","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","582","302a5ac3d5371cefdfd4f8edf1755abaa89ae39267b319f6c573d0aa53230604","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","583","a045d6a4bf85bfba5ac9b676f8e2ddb46c4c46db883daaff95e9c213d26648af","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","606","8c5ca4178018af973c22c062742c243bcccf00593976ba5706db32e83880da34","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","583","e5189e648a39b1752d8d915d482e2a916fc677d8b9d437ceb0653d65f8062729","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_SURVEY.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_SURVEY.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_SURVEY.zip.e0c9d8ab5b78.headers.txt","571","4b06492e4b1a165dcc030d7c26f9d4476a3944f9df7f95d84fdad0b1135e435d","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log","DOWNLOAD_LOG","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log","manifests/DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log","17997","32bf7bd48814b06e0325e0fe08d6b085fe3093774ca65e7b01f4a83d42bff20d","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\DOWNLOAD_FREEZE_QC_v01.csv","DOWNLOAD_FREEZE_QC","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\DOWNLOAD_FREEZE_QC_v01.csv","manifests/DOWNLOAD_FREEZE_QC_v01.csv","970","6240bbbe73dd6dc4d7e047e26ade7b96111a563df37bf2c30b5879f2cec11d2c","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\DOWNLOAD_STATUS_v01.csv","DOWNLOAD_STATUS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\manifests\DOWNLOAD_STATUS_v01.csv","manifests/DOWNLOAD_STATUS_v01.csv","18994","d4ec6ace80195f6f76b2aad9ef73de18ce46acb43c661ff010b5bf5f843d57b2","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
