analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
207675,Triadica sebifera,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
212845,Vernicia fordii,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
320352,Catalpa bignonioides,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
320410,Catalpa speciosa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
334053,Ginkgo biloba,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
351387,Leucothrinax morrisii,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
354176,Ligustrum japonicum,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
354188,Ligustrum lucidum,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
377287,Juniperus virginiana,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0325,Juniperus silicicola,Juniperus virginiana var. silicicola,(Small) A.E. Murray,SPECIES,individual_taxa/atlas_pages/Juniperus_silicicola.pdf,Juniperus_silicicola,207,Little (1971),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
377287,Juniperus virginiana,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0326,Juniperus virginiana,Juniperus virginiana,L.,SPECIES,individual_taxa/atlas_pages/Juniperus_virginiana.pdf,Juniperus_virginiana,4197,Little (1971),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
377397,Juniperus flaccida,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
379762,Pinus longaeva,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0431,Pinus longaeva,Pinus longaeva,D.K. Bailey,SPECIES,individual_taxa/atlas_pages/Pinus_longaeva.pdf,Pinus_longaeva,33,Bailey (1970); Little (1971),"Bailey, 1970",We follow Bailey (1970) in the division of what was Pinus aristata (as mapped in Little [1971]) into Pinus aristata and Pinus longaeva. We further revised the distribution of Pinus longaeva based on newer sources,remapped,1,,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
379837,Pinus discolor,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380126,Pinus sylvestris,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380171,Pinus nigra,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
380239,Pinus muricata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
