model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M2,PAIRED_NULL,O3,AB,A,B,SYN059,0.01615926169836709,0.02,0.07455755335301326,0.029614834789002228,0.12704545587200922,66.36784747374091,129,-62.63215252625909,-0.4855205622190627,0.27906976744186046,0.8780487804878049,0.26865671641791045,0.04858470779530771,57.35,65.0,75.64999999999999,0,2913,41
M0,PAIRED_NULL,O3,AB,A,B,SYN060,,,,0.03158256093374528,0.43633017244563127,48.0,140,-92.0,-0.6571428571428571,0.34285714285714286,1.0,0.34285714285714286,1.4815510057998932e-05,48.0,48.0,48.0,0,2913,48
M1,PAIRED_NULL,O3,AB,A,B,SYN060,0.03213125050452352,0.02,0.07147063865778575,0.031197031470690847,0.16021896617455397,92.6596148324818,140,-47.34038516751821,-0.33814560833941576,0.34285714285714286,1.0,0.34285714285714286,0.07641451501677007,82.0,92.0,103.0,0,2913,48
M2,PAIRED_NULL,O3,AB,A,B,SYN060,0.03213125050452352,0.02,0.07147063865778575,0.010719994073291559,0.04702346699350729,155.42888295885564,140,15.428882958855638,0.11020630684896884,0.7571428571428571,0.954954954954955,0.7310344827586207,0.08969291335897213,142.35,155.0,168.0,0,2913,111
M0,PAIRED_NULL,O3,AB,A,B,SYN061,,,,0.02059732234809475,0.2845635037690638,42.0,102,-60.0,-0.5882352941176471,0.4117647058823529,1.0,0.4117647058823529,1.4815510057998172e-05,42.0,42.0,42.0,0,2913,42
M1,PAIRED_NULL,O3,AB,A,B,SYN061,0.03219963611201479,0.02,0.056942403419504836,0.02027122593307117,0.10410419230056345,92.7740559828556,102,-9.2259440171444,-0.09045043154063137,0.4117647058823529,1.0,0.4117647058823529,0.08562124191540038,79.35,94.0,103.0,1,2913,42
M2,PAIRED_NULL,O3,AB,A,B,SYN061,0.03219963611201479,0.02,0.056942403419504836,0.004764494723253057,0.030608505615816187,136.96771854855365,102,34.96771854855365,0.3428207700838593,0.8627450980392157,0.967032967032967,0.8380952380952381,0.09265948778362708,126.7,137.0,149.0,0,2913,91
M0,PAIRED_NULL,O3,AB,A,B,SYN062,,,,0.029179539993134225,0.4031312136726321,49.0,134,-85.0,-0.6343283582089553,0.3656716417910448,1.0,0.3656716417910448,1.4815510057999058e-05,49.0,49.0,49.0,0,2913,49
M1,PAIRED_NULL,O3,AB,A,B,SYN062,0.03197735232815061,0.02,0.07479467562657445,0.028846050645542277,0.14958627921642303,92.22768428401633,134,-41.772315715983666,-0.31173369937301243,0.3656716417910448,1.0,0.3656716417910448,0.07423861998838749,82.0,92.0,101.0,0,2913,49
M2,PAIRED_NULL,O3,AB,A,B,SYN062,0.03197735232815061,0.02,0.07479467562657445,0.013475274210132388,0.06142162128308627,136.6763777646293,134,2.676377764629308,0.01997296839275603,0.6865671641791045,0.9787234042553191,0.6764705882352942,0.081961517991856,126.0,137.0,149.0,1,2913,94
