model,world,observation_regime,orientation,bin_index,bin_lower,bin_upper,n_cell_predictions,mean_predicted_probability,observed_occupancy_fraction,absolute_calibration_gap
M1,STRONG,O3,AB,9,0.8,0.9,0,,,
M1,STRONG,O3,AB,10,0.9,1.0,3684,0.9999990000000003,1.0,9.999999996956888e-07
M1,STRONG,O3,BA,1,0.0,0.1,200972,0.012993060364845339,0.019336026909221184,0.006342966544375845
M1,STRONG,O3,BA,2,0.1,0.2,0,,,
M1,STRONG,O3,BA,3,0.2,0.3,0,,,
M1,STRONG,O3,BA,4,0.3,0.4,0,,,
M1,STRONG,O3,BA,5,0.4,0.5,0,,,
M1,STRONG,O3,BA,6,0.5,0.6,0,,,
M1,STRONG,O3,BA,7,0.6,0.7,0,,,
M1,STRONG,O3,BA,8,0.7,0.8,0,,,
M1,STRONG,O3,BA,9,0.8,0.9,0,,,
M1,STRONG,O3,BA,10,0.9,1.0,4588,0.9999990000000001,1.0,9.999999999177334e-07
M2,PAIRED_NULL,O1,AB,1,0.0,0.1,201738,0.009265156111455992,0.008753928362529617,0.0005112277489263753
M2,PAIRED_NULL,O1,AB,2,0.1,0.2,563,0.14826015173929172,0.5079928952042628,0.3597327434649711
M2,PAIRED_NULL,O1,AB,3,0.2,0.3,460,0.25114370239867445,0.4956521739130435,0.24450847151436905
M2,PAIRED_NULL,O1,AB,4,0.3,0.4,383,0.34820587925584073,0.5744125326370757,0.22620665338123497
M2,PAIRED_NULL,O1,AB,5,0.4,0.5,309,0.4476877080425445,0.6440129449838188,0.1963252369412743
M2,PAIRED_NULL,O1,AB,6,0.5,0.6,266,0.5487637947326482,0.6992481203007519,0.15048432556810365
M2,PAIRED_NULL,O1,AB,7,0.6,0.7,247,0.6485205228767452,0.7530364372469636,0.10451591437021834
M2,PAIRED_NULL,O1,AB,8,0.7,0.8,268,0.7506239127856131,0.6902985074626866,0.06032540532292652
M2,PAIRED_NULL,O1,AB,9,0.8,0.9,404,0.8518946712573129,0.6707920792079208,0.18110259204939205
M2,PAIRED_NULL,O1,AB,10,0.9,1.0,5098,0.9933114791736534,0.9927422518634759,0.0005692273101775003
M2,PAIRED_NULL,O1,BA,1,0.0,0.1,197079,0.009083843250820449,0.006408597567472942,0.0026752456833475068
M2,PAIRED_NULL,O1,BA,2,0.1,0.2,548,0.14594115036994318,0.4397810218978102,0.29383987152786706
M2,PAIRED_NULL,O1,BA,3,0.2,0.3,410,0.24933497428565715,0.3804878048780488,0.13115283059239163
M2,PAIRED_NULL,O1,BA,4,0.3,0.4,390,0.3461389059695241,0.517948717948718,0.17180981197919387
M2,PAIRED_NULL,O1,BA,5,0.4,0.5,272,0.446069548453271,0.6029411764705882,0.1568716280173172
M2,PAIRED_NULL,O1,BA,6,0.5,0.6,239,0.5479008211119969,0.7071129707112971,0.1592121495993002
M2,PAIRED_NULL,O1,BA,7,0.6,0.7,233,0.6541504161431926,0.6695278969957081,0.015377480852515557
M2,PAIRED_NULL,O1,BA,8,0.7,0.8,252,0.7510350113981858,0.626984126984127,0.12405088441405887
M2,PAIRED_NULL,O1,BA,9,0.8,0.9,390,0.8542314954457867,0.6615384615384615,0.19269303390732517
M2,PAIRED_NULL,O1,BA,10,0.9,1.0,5747,0.9940138710163564,0.9930398468766313,0.0009740241397251381
M2,PAIRED_NULL,O2,AB,1,0.0,0.1,201751,0.012017888787803176,0.008535273678940873,0.0034826151088623025
M2,PAIRED_NULL,O2,AB,2,0.1,0.2,540,0.1442028071530963,0.5611111111111111,0.4169083039580148
M2,PAIRED_NULL,O2,AB,3,0.2,0.3,450,0.25004254630657485,0.4955555555555556,0.24551300924898073
M2,PAIRED_NULL,O2,AB,4,0.3,0.4,474,0.3512801539619714,0.5590717299578059,0.20779157599583448
M2,PAIRED_NULL,O2,AB,5,0.4,0.5,373,0.44718753874067096,0.6541554959785523,0.2069679572378813
M2,PAIRED_NULL,O2,AB,6,0.5,0.6,342,0.54400617351377,0.7368421052631579,0.19283593174938785
M2,PAIRED_NULL,O2,AB,7,0.6,0.7,283,0.6437162007212459,0.8621908127208481,0.21847461199960216
M2,PAIRED_NULL,O2,AB,8,0.7,0.8,259,0.7524799716582581,0.833976833976834,0.08149686231857589
M2,PAIRED_NULL,O2,AB,9,0.8,0.9,421,0.8554128348727997,0.7790973871733967,0.07631544769940302
M2,PAIRED_NULL,O2,AB,10,0.9,1.0,4843,0.9906430474284483,0.9892628536031386,0.001380193825309739
M2,PAIRED_NULL,O2,BA,1,0.0,0.1,196815,0.01185955136147381,0.0054518202372786624,0.006407731124195148
M2,PAIRED_NULL,O2,BA,2,0.1,0.2,493,0.14601995003449444,0.513184584178499,0.3671646341440046
M2,PAIRED_NULL,O2,BA,3,0.2,0.3,457,0.24957452527667928,0.4288840262582057,0.17930950098152643
M2,PAIRED_NULL,O2,BA,4,0.3,0.4,405,0.3511584084391364,0.4444444444444444,0.09328603600530799
M2,PAIRED_NULL,O2,BA,5,0.4,0.5,377,0.44917167061886554,0.5172413793103449,0.06806970869147932
M2,PAIRED_NULL,O2,BA,6,0.5,0.6,311,0.5470347513367739,0.6655948553054662,0.11856010396869232
M2,PAIRED_NULL,O2,BA,7,0.6,0.7,264,0.6515238444202215,0.8068181818181818,0.15529433739796028
M2,PAIRED_NULL,O2,BA,8,0.7,0.8,276,0.7493591800544651,0.8079710144927537,0.058611834438288546
M2,PAIRED_NULL,O2,BA,9,0.8,0.9,463,0.8570741937726076,0.6565874730021598,0.20048672077044782
M2,PAIRED_NULL,O2,BA,10,0.9,1.0,5699,0.9921164269460679,0.987892612739077,0.004223814206990917
M2,PAIRED_NULL,O3,AB,1,0.0,0.1,201657,0.011677875880587727,0.008534293379352069,0.003143582501235658
M2,PAIRED_NULL,O3,AB,2,0.1,0.2,549,0.14399096070518336,0.51183970856102,0.36784874785583666
M2,PAIRED_NULL,O3,AB,3,0.2,0.3,464,0.2488765855743025,0.4849137931034483,0.23603720752914578
M2,PAIRED_NULL,O3,AB,4,0.3,0.4,437,0.35100856776256983,0.5263157894736842,0.17530722171111435
M2,PAIRED_NULL,O3,AB,5,0.4,0.5,377,0.4485282090081638,0.596816976127321,0.14828876711915717
M2,PAIRED_NULL,O3,AB,6,0.5,0.6,286,0.5504509214155195,0.7132867132867133,0.1628357918711938
M2,PAIRED_NULL,O3,AB,7,0.6,0.7,266,0.6523914022783813,0.8270676691729323,0.17467626689455096
M2,PAIRED_NULL,O3,AB,8,0.7,0.8,302,0.7500871135139627,0.7847682119205298,0.03468109840656708
M2,PAIRED_NULL,O3,AB,9,0.8,0.9,425,0.8560785406585375,0.7552941176470588,0.10078442301147872
M2,PAIRED_NULL,O3,AB,10,0.9,1.0,4973,0.990841326241297,0.9901467926804746,0.0006945335608223857
M2,PAIRED_NULL,O3,BA,1,0.0,0.1,196585,0.01262004865581422,0.005295419284279065,0.007324629371535156
M2,PAIRED_NULL,O3,BA,2,0.1,0.2,516,0.1413274250073127,0.42441860465116277,0.28309117964385005
M2,PAIRED_NULL,O3,BA,3,0.2,0.3,406,0.25259746011152096,0.3768472906403941,0.12424983052887312
M2,PAIRED_NULL,O3,BA,4,0.3,0.4,404,0.3474426580262021,0.3712871287128713,0.023844470686669172
M2,PAIRED_NULL,O3,BA,5,0.4,0.5,389,0.4469558660938491,0.4498714652956298,0.0029155992017807497
M2,PAIRED_NULL,O3,BA,6,0.5,0.6,310,0.5470502812907369,0.5709677419354838,0.02391746064474698
M2,PAIRED_NULL,O3,BA,7,0.6,0.7,245,0.6502117831281753,0.6448979591836734,0.005313823944501861
M2,PAIRED_NULL,O3,BA,8,0.7,0.8,289,0.7506953876776579,0.7647058823529411,0.014010494675283258
M2,PAIRED_NULL,O3,BA,9,0.8,0.9,425,0.8525695610146864,0.6517647058823529,0.20080485513233348
M2,PAIRED_NULL,O3,BA,10,0.9,1.0,5991,0.9932385045331346,0.985311300283759,0.007927204249375541
M2,STRONG,O1,AB,1,0.0,0.1,202195,0.008647283164940405,0.007522441207744999,0.0011248419571954068
M2,STRONG,O1,AB,2,0.1,0.2,518,0.14606492748982122,0.6467181467181468,0.5006532192283255
M2,STRONG,O1,AB,3,0.2,0.3,367,0.2442372248246026,0.7111716621253406,0.4669344373007379
M2,STRONG,O1,AB,4,0.3,0.4,306,0.34910729118888456,0.7843137254901961,0.4352064343013115
M2,STRONG,O1,AB,5,0.4,0.5,254,0.4513871478996542,0.8543307086614174,0.4029435607617632
M2,STRONG,O1,AB,6,0.5,0.6,203,0.5525473137944827,0.8916256157635468,0.3390783019690641
M2,STRONG,O1,AB,7,0.6,0.7,215,0.6511388698588597,0.8930232558139535,0.24188438595509376
M2,STRONG,O1,AB,8,0.7,0.8,246,0.7515723242390028,0.9349593495934959,0.18338702535449314
