FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
107,Pinus clausa,AB,B,E_EMPIRICAL_MAX,1.0,0.35734108584753566,2.798446749072295,0.6426589141524643,STRESS_GT_FOLD_DISCREPANCY
107,Pinus clausa,BA,A,E_EMPIRICAL_MAX,1.0,0.35734108584753566,2.798446749072295,0.6426589141524643,STRESS_GT_FOLD_DISCREPANCY
110,Pinus echinata,AB,B,E_OBSERVED,0.0,0.27159872348165875,0.0,-0.27159872348165875,STRESS_LT_FOLD_DISCREPANCY
110,Pinus echinata,BA,A,E_OBSERVED,0.0,0.27159872348165875,0.0,-0.27159872348165875,STRESS_LT_FOLD_DISCREPANCY
110,Pinus echinata,AB,B,E_P95,0.09261156421587981,0.27159872348165875,0.3409867433420906,-0.17898715926577896,STRESS_LT_FOLD_DISCREPANCY
110,Pinus echinata,BA,A,E_P95,1.0,0.27159872348165875,3.681902430103029,0.7284012765183412,STRESS_GT_FOLD_DISCREPANCY
110,Pinus echinata,AB,B,E_EMPIRICAL_MAX,1.0,0.27159872348165875,3.681902430103029,0.7284012765183412,STRESS_GT_FOLD_DISCREPANCY
110,Pinus echinata,BA,A,E_EMPIRICAL_MAX,1.0,0.27159872348165875,3.681902430103029,0.7284012765183412,STRESS_GT_FOLD_DISCREPANCY
111,Pinus elliottii,AB,B,E_OBSERVED,0.0,0.2450107177119591,0.0,-0.2450107177119591,STRESS_LT_FOLD_DISCREPANCY
111,Pinus elliottii,BA,A,E_OBSERVED,0.0,0.2450107177119591,0.0,-0.2450107177119591,STRESS_LT_FOLD_DISCREPANCY
111,Pinus elliottii,AB,B,E_P95,0.09261156421587981,0.2450107177119591,0.37798984910021916,-0.1523991534960793,STRESS_LT_FOLD_DISCREPANCY
111,Pinus elliottii,BA,A,E_P95,1.0,0.2450107177119591,4.081454106736775,0.7549892822880409,STRESS_GT_FOLD_DISCREPANCY
111,Pinus elliottii,AB,B,E_EMPIRICAL_MAX,1.0,0.2450107177119591,4.081454106736775,0.7549892822880409,STRESS_GT_FOLD_DISCREPANCY
111,Pinus elliottii,BA,A,E_EMPIRICAL_MAX,1.0,0.2450107177119591,4.081454106736775,0.7549892822880409,STRESS_GT_FOLD_DISCREPANCY
115,Pinus glabra,AB,B,E_OBSERVED,0.0,0.454721580092406,0.0,-0.454721580092406,STRESS_LT_FOLD_DISCREPANCY
115,Pinus glabra,BA,A,E_OBSERVED,0.0,0.454721580092406,0.0,-0.454721580092406,STRESS_LT_FOLD_DISCREPANCY
115,Pinus glabra,AB,B,E_P95,0.09261156421587981,0.454721580092406,0.2036665253429578,-0.3621100158765262,STRESS_LT_FOLD_DISCREPANCY
115,Pinus glabra,BA,A,E_P95,1.0,0.454721580092406,2.1991478825279978,0.545278419907594,STRESS_GT_FOLD_DISCREPANCY
