FIA_SPCD,accepted_scientific_name,stress_tier,AB_fold_B_envelope_tv,BA_fold_A_envelope_tv,max_direction_envelope_tv,abs_AB_minus_BA_envelope_tv,AB_fold_discrepancy_tv,max_stress_to_fold_discrepancy_ratio,comparison_class
332,Aesculus flava,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.479115858898129,2.0871778327267245,POSITIVE_FOLD_DISCREPANCY
332,Aesculus flava,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.479115858898129,2.0871778327267245,POSITIVE_FOLD_DISCREPANCY
333,Aesculus californica,E_OBSERVED,0.0,0.0,0.0,0.0,0.5422390647593217,0.0,POSITIVE_FOLD_DISCREPANCY
333,Aesculus californica,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5422390647593217,1.8442050102824297,POSITIVE_FOLD_DISCREPANCY
333,Aesculus californica,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5422390647593217,1.8442050102824297,POSITIVE_FOLD_DISCREPANCY
373,Betula nigra,E_OBSERVED,0.0,0.0,0.0,0.0,0.6855512442578121,0.0,POSITIVE_FOLD_DISCREPANCY
373,Betula nigra,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.6855512442578121,1.458680161951445,POSITIVE_FOLD_DISCREPANCY
373,Betula nigra,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.6855512442578121,1.458680161951445,POSITIVE_FOLD_DISCREPANCY
401,Carya aquatica,E_OBSERVED,0.0,0.0,0.0,0.0,0.5055358064854162,0.0,POSITIVE_FOLD_DISCREPANCY
401,Carya aquatica,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5055358064854162,1.978099250678593,POSITIVE_FOLD_DISCREPANCY
401,Carya aquatica,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5055358064854162,1.978099250678593,POSITIVE_FOLD_DISCREPANCY
408,Carya texana,E_OBSERVED,0.0,0.0,0.0,0.0,0.23334009957787769,0.0,POSITIVE_FOLD_DISCREPANCY
408,Carya texana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.23334009957787769,4.285590011356999,POSITIVE_FOLD_DISCREPANCY
408,Carya texana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.23334009957787769,4.285590011356999,POSITIVE_FOLD_DISCREPANCY
410,Carya pallida,E_OBSERVED,0.0,0.0,0.0,0.0,0.7105110020840925,0.0,POSITIVE_FOLD_DISCREPANCY
410,Carya pallida,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.7105110020840925,1.4074377413815826,POSITIVE_FOLD_DISCREPANCY
410,Carya pallida,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.7105110020840925,1.4074377413815826,POSITIVE_FOLD_DISCREPANCY
411,Carya floridana,E_OBSERVED,0.0,0.0,0.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
411,Carya floridana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
411,Carya floridana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
422,Castanea pumila,E_OBSERVED,0.0,0.0,0.0,0.0,1.0,0.0,POSITIVE_FOLD_DISCREPANCY
422,Castanea pumila,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
422,Castanea pumila,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
423,Castanea ozarkensis,E_OBSERVED,0.0,0.0,0.0,0.0,1.0,0.0,POSITIVE_FOLD_DISCREPANCY
423,Castanea ozarkensis,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
423,Castanea ozarkensis,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
431,Chrysolepis chrysophylla var. chrysophylla,E_OBSERVED,0.0,0.0,0.0,0.0,0.338332111116818,0.0,POSITIVE_FOLD_DISCREPANCY
431,Chrysolepis chrysophylla var. chrysophylla,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.338332111116818,2.9556757018984934,POSITIVE_FOLD_DISCREPANCY
431,Chrysolepis chrysophylla var. chrysophylla,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.338332111116818,2.9556757018984934,POSITIVE_FOLD_DISCREPANCY
451,Catalpa bignonioides,E_OBSERVED,0.0,0.0,0.0,0.0,1.0,0.0,POSITIVE_FOLD_DISCREPANCY
451,Catalpa bignonioides,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
451,Catalpa bignonioides,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
452,Catalpa speciosa,E_OBSERVED,0.0,0.0,0.0,0.0,0.977503566589065,0.0,POSITIVE_FOLD_DISCREPANCY
452,Catalpa speciosa,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.977503566589065,1.0230141701573887,POSITIVE_FOLD_DISCREPANCY
452,Catalpa speciosa,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.977503566589065,1.0230141701573887,POSITIVE_FOLD_DISCREPANCY
481,Cladrastis kentukea,E_OBSERVED,0.0,0.0,0.0,0.0,1.0,0.0,POSITIVE_FOLD_DISCREPANCY
481,Cladrastis kentukea,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
481,Cladrastis kentukea,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,1.0,1.0,POSITIVE_FOLD_DISCREPANCY
521,Diospyros virginiana,E_OBSERVED,0.0,0.0,0.0,0.0,0.5905744196957625,0.0,POSITIVE_FOLD_DISCREPANCY
521,Diospyros virginiana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5905744196957625,1.693266702129014,POSITIVE_FOLD_DISCREPANCY
521,Diospyros virginiana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5905744196957625,1.693266702129014,POSITIVE_FOLD_DISCREPANCY
545,Fraxinus profunda,E_OBSERVED,0.0,0.0,0.0,0.0,0.7421442066758173,0.0,POSITIVE_FOLD_DISCREPANCY
545,Fraxinus profunda,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.7421442066758173,1.347447020410171,POSITIVE_FOLD_DISCREPANCY
545,Fraxinus profunda,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.7421442066758173,1.347447020410171,POSITIVE_FOLD_DISCREPANCY
555,Gordonia lasianthus,E_OBSERVED,0.0,0.0,0.0,0.0,0.514717752151513,0.0,POSITIVE_FOLD_DISCREPANCY
555,Gordonia lasianthus,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.514717752151513,1.9428123390343812,POSITIVE_FOLD_DISCREPANCY
555,Gordonia lasianthus,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.514717752151513,1.9428123390343812,POSITIVE_FOLD_DISCREPANCY
582,Halesia diptera,E_OBSERVED,0.0,0.0,0.0,0.0,0.7545235495937637,0.0,POSITIVE_FOLD_DISCREPANCY
582,Halesia diptera,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.7545235495937637,1.3253396803034194,POSITIVE_FOLD_DISCREPANCY
582,Halesia diptera,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.7545235495937637,1.3253396803034194,POSITIVE_FOLD_DISCREPANCY
